cluster,centroid_x,centroid_y,n_fixations,sum_duration_s
0,0.3769670036673547,0.442675318949012,141,53.94064
1,0.46029879376292226,0.239766027033329,2,0.705631
2,0.5971513288734868,0.8857834878415399,28,10.264240999999998
3,0.18508439628289092,0.8647541678621478,8,2.2771170000000005
4,0.2178195968447696,0.7997809284499714,4,0.895868
5,0.7894518298407396,0.7060517714979748,8,2.227125
6,0.8012390503216357,0.45331563164908734,12,4.599225
7,0.5920251860292185,0.7702097520870822,10,2.8425000000000002
8,0.20152555335135683,0.5700415886583783,3,1.095879
9,0.5126085612508986,0.3329527616086933,4,2.287
10,0.7032968695718973,0.19929318719410466,16,6.716101999999999
11,0.5478013742189828,0.1935443026133072,6,2.577245
12,0.680971227089564,0.34774320721626284,2,0.49549999999999994
13,0.8026844660441081,0.2985817765196164,2,0.5154989999999999
14,0.18419563672135744,0.5073149873623772,3,1.026002
15,0.17497475965628542,0.7238442101885402,3,1.1059860000000001
16,0.653091140932593,0.6168268643405616,10,2.822618
17,0.47483269897374236,0.7850410148501397,2,0.725501
18,0.6496411968361248,0.7195510708472945,2,0.765625
