cluster,centroid_x,centroid_y,n_fixations,sum_duration_s
0,0.6060496015056166,0.6938236943215412,22,14.538384
1,0.6561706430364381,0.42498269678886386,76,27.471071000000002
2,0.27796018100959596,0.4197262079942794,6,1.556746
3,0.4936158685830601,0.31913553858012483,3,1.771485
4,0.3783345156908035,0.6796178632974625,5,0.891011
5,0.5184718734025955,0.5996771764755249,5,0.991006
6,0.26265804320573805,0.7217325935761134,2,0.430375
7,0.4920252311229706,0.9302023512125015,5,1.1111440000000001
8,0.591600414779451,0.9407206289470196,3,0.625614
9,0.6002904146909713,0.8425898234049479,2,0.410362
10,0.7159939872127482,0.6817041987494865,12,2.852267
11,0.7585112328330677,0.9089317994399202,2,0.675632
12,0.304230127731959,0.8997287571181853,5,1.541613
13,0.1966507074733575,0.8611022107125748,2,0.7657499999999999
14,0.1887846007943153,0.3163642883300781,2,0.365262
