world_index,marker_uid,corner_0_x,corner_0_y,corner_1_x,corner_1_y,corner_2_x,corner_2_y,corner_3_x,corner_3_y
0,apriltag_v3:tag36h11:21,96.6788864135742,587.5291748046875,137.92698669433594,586.0556030273436,130.7524108886719,533.389892578125,88.74916076660156,536.2045288085939
0,apriltag_v3:tag36h11:22,1009.3353881835938,55.2343864440918,1058.2518310546875,64.54794311523438,1056.5063476562502,19.8940372467041,1009.1111450195316,8.30169391632081
0,apriltag_v3:tag36h11:23,975.153625488281,553.3026733398438,1021.7440795898438,552.857177734375,1028.8286132812502,504.151123046875,980.6320800781249,502.6208190917969
1,apriltag_v3:tag36h11:21,97.0876998901367,588.9785766601562,138.28515625,586.6334838867189,131.00062561035156,534.465576171875,89.09678649902342,536.9639892578124
1,apriltag_v3:tag36h11:22,1008.8527221679688,55.33358001708986,1058.0690917968752,64.83782958984375,1056.1879882812502,20.126863479614247,1008.6324462890625,8.3298921585083
1,apriltag_v3:tag36h11:23,975.4713134765624,553.483642578125,1021.9506225585936,553.0687255859376,1029.017578125,504.1923522949218,980.899658203125,502.96112060546864
2,apriltag_v3:tag36h11:21,97.12532806396482,589.6892700195314,138.3704376220703,588.0672607421875,131.0708465576172,535.3793334960938,89.17607116699216,538.1415405273439
2,apriltag_v3:tag36h11:22,1008.3869628906249,55.451026916503906,1057.7296142578127,64.83358001708984,1055.4360351562498,20.109647750854496,1008.05810546875,8.553201675415039
2,apriltag_v3:tag36h11:23,975.6146850585938,553.4390869140625,1021.9840087890625,553.1644897460938,1029.13671875,504.27825927734364,980.9888916015625,503.2635192871093
3,apriltag_v3:tag36h11:21,97.40148925781251,590.1392211914064,138.59060668945312,588.4022216796874,131.3800048828125,535.6880493164061,89.44227600097658,538.5474243164062
3,apriltag_v3:tag36h11:22,1008.4697875976564,56.0781135559082,1057.832275390625,65.55570220947264,1055.652587890625,20.904867172241214,1008.1182250976565,9.134381294250508
3,apriltag_v3:tag36h11:23,975.8579711914064,554.5017700195312,1022.5097045898439,553.5438842773438,1029.5004882812498,505.21221923828114,981.3547973632812,503.5774230957031
4,apriltag_v3:tag36h11:21,98.17191314697266,590.6434936523438,139.45803833007812,588.5234374999999,132.2266387939453,536.0589599609375,90.23390197753906,538.6668701171876
4,apriltag_v3:tag36h11:22,1009.7886962890622,56.85575485229492,1058.7203369140627,66.14883422851564,1056.841430664063,21.644239425659176,1009.72705078125,9.867224693298326
4,apriltag_v3:tag36h11:23,976.7718505859375,555.1561889648438,1023.3875732421876,554.447021484375,1030.6208496093748,505.8402709960938,982.4297485351562,504.2518005371095
5,apriltag_v3:tag36h11:21,98.82855987548828,591.4589843750001,140.00468444824222,589.3771362304688,132.99891662597656,536.8232421875001,90.890625,539.6621093750001
5,apriltag_v3:tag36h11:22,1010.2709960937499,57.34735488891602,1059.7481689453125,66.88602447509766,1057.133544921875,21.90870666503906,1009.8342285156249,10.43662548065185
5,apriltag_v3:tag36h11:23,977.4890136718751,555.4940185546875,1024.020263671875,555.2081909179688,1031.1488037109375,506.39807128906256,982.9494628906251,505.35848999023443
6,apriltag_v3:tag36h11:21,99.05712890625,592.8511352539061,140.07655334472656,590.7323608398439,133.0731506347656,538.1969604492188,91.05418395996092,540.9780273437499
6,apriltag_v3:tag36h11:22,1010.1283569335938,58.54053497314454,1059.4254150390625,67.82424926757811,1057.0054931640627,23.007549285888672,1009.9971923828127,11.51448631286621
6,apriltag_v3:tag36h11:23,977.441650390625,557.3828125,1023.9515991210938,556.421325683594,1031.0771484374998,508.0117797851562,983.0307617187499,506.105285644531
7,apriltag_v3:tag36h11:21,98.81621551513673,595.1516723632814,139.7862091064453,593.1498413085938,133.05836486816403,540.8095703125,91.08557128906249,543.716064453125
7,apriltag_v3:tag36h11:22,1009.8443603515624,60.74728012084964,1058.5498046875,69.93205261230466,1056.553955078125,25.193887710571275,1009.3221435546874,13.911570549011254
7,apriltag_v3:tag36h11:23,976.9220581054686,559.6294555664062,1023.3765869140626,558.7358398437499,1030.704345703125,510.1828918457032,982.3510742187501,509.07907104492205
8,apriltag_v3:tag36h11:21,98.40009307861328,598.3480834960939,139.34965515136722,596.4953002929689,132.43251037597653,544.2856445312499,90.31877136230469,546.9270629882811
8,apriltag_v3:tag36h11:22,1008.4134521484375,64.02455139160156,1057.77783203125,73.08565521240234,1055.3264160156255,28.533151626586914,1008.039245605469,17.206932067871083
8,apriltag_v3:tag36h11:23,976.1146240234375,563.1630249023436,1022.5755004882812,562.0653076171875,1029.6343994140625,514.1171264648438,981.4438476562501,512.9545288085938
9,apriltag_v3:tag36h11:21,97.52088928222656,601.9296875,138.43920898437503,600.2207641601561,131.7988739013672,548.0403442382814,89.63544464111328,550.6886596679689
9,apriltag_v3:tag36h11:22,1007.56591796875,68.47321319580078,1056.0537109374998,77.2663116455078,1054.5170898437502,32.968658447265625,1007.210876464844,21.809061050415043
9,apriltag_v3:tag36h11:23,974.773193359375,567.4663696289061,1021.205322265625,566.5145263671876,1028.2283935546875,518.7770996093749,980.1179809570312,517.0931396484373
10,apriltag_v3:tag36h11:21,97.10543060302736,605.3050537109375,138.30911254882812,604.087585449219,131.37094116210935,551.6136474609375,89.3206100463867,553.968811035156
10,apriltag_v3:tag36h11:22,1006.1996459960936,72.62602996826172,1055.4149169921875,81.72611236572264,1052.9901123046877,36.99351119995118,1006.1575317382812,25.87517166137696
10,apriltag_v3:tag36h11:23,973.8869018554688,571.6675415039062,1020.3309936523438,570.5369262695311,1027.0706787109377,522.5711059570314,979.1216430664062,521.3323364257812
11,apriltag_v3:tag36h11:21,97.22553253173827,608.0544433593749,138.3307647705078,606.937927246094,131.54405212402344,554.5082397460938,89.43764495849611,556.5266113281247
11,apriltag_v3:tag36h11:22,1005.9147949218751,76.6951675415039,1054.7226562500002,85.6255340576172,1052.6650390624998,41.09847640991211,1005.8096923828125,29.96273803710937
11,apriltag_v3:tag36h11:23,973.403076171875,575.348876953125,1019.6977539062502,574.3810424804688,1026.6345214843748,526.447265625,978.7272338867185,525.1249389648439
12,apriltag_v3:tag36h11:21,97.67480468750003,610.7152709960938,138.80867004394534,609.2192993164061,131.91143798828122,556.7473144531251,89.99254608154297,559.2122802734376
12,apriltag_v3:tag36h11:22,1006.122802734375,80.86122131347656,1054.7775878906252,89.5501708984375,1052.8153076171877,45.15285491943359,1005.9522705078126,33.86378860473633
12,apriltag_v3:tag36h11:23,973.25,579.3143310546875,1019.599365234375,578.1969604492189,1026.43310546875,530.3770141601562,978.4791259765626,528.8538818359375
13,apriltag_v3:tag36h11:21,98.04631042480469,613.048583984375,139.19480895996094,611.9978637695311,132.6057586669922,559.7850341796876,90.63307189941406,561.7031860351565
13,apriltag_v3:tag36h11:22,1006.2722778320311,85.15515136718749,1055.4931640625002,94.15573120117188,1053.0205078125,49.47136688232424,1006.2436523437499,38.36871337890625
13,apriltag_v3:tag36h11:23,973.2307128906249,583.61181640625,1019.5570068359376,582.5433959960938,1026.3266601562502,535.0175170898438,978.5691528320312,533.3627319335938
14,apriltag_v3:tag36h11:21,98.48558807373047,616.2969970703125,139.702880859375,615.4642333984374,132.9300689697265,563.2022094726562,91.09628295898438,565.1175537109377
