recording_id,participant_id,level_name,window_s,src_quad,prev_quad,dst_quad,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12
2025-09-26_16-24-13-61db42a9,61db42a9,waldo_4,5.0,2,2,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3153870105743408,0.17203927040100098,0.459760457277298,0.25737494230270386,0.8001207113265991
2025-09-26_16-24-13-61db42a9,61db42a9,waldo_4,5.0,2,2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.10512500256299973,0.042518239468336105,-0.7797176241874695,0.22463811933994293,0.7729895114898682
2025-09-26_16-24-13-61db42a9,61db42a9,waldo_4,5.0,0,2,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1601240038871765,0.4587882459163666,-0.5107351541519165,0.2091681957244873,0.3144621253013611
2025-09-26_16-24-13-61db42a9,61db42a9,waldo_4,5.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3453750014305115,0.13043048977851868,-0.5337858200073242,0.19535012543201447,0.18476566672325134
2025-09-26_16-24-13-61db42a9,61db42a9,waldo_4,5.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2952449917793274,0.043489184230566025,-0.002099276753142476,0.23883835971355438,0.18447886407375336
2025-09-26_16-24-13-61db42a9,61db42a9,waldo_4,5.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2251249998807907,0.04963100701570511,0.9546759724617004,0.1897096335887909,0.19152194261550903
2025-09-26_16-45-00-95032692,95032692,waldo_1,5.0,3,3,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.481374979019165,0.023679783567786217,-0.4636591374874115,0.7886597514152527,0.7006958723068237
2025-09-26_16-45-00-95032692,95032692,waldo_1,5.0,3,3,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3603709936141968,0.25717100501060486,0.6207252144813538,0.6934442520141602,0.939591109752655
2025-09-26_16-45-00-95032692,95032692,waldo_1,5.0,2,3,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.23025600612163544,0.23857705295085907,-0.8393022418022156,0.4846300184726715,0.8241977095603943
2025-09-26_16-45-00-95032692,95032692,waldo_1,5.0,2,2,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.290241003036499,0.06250868737697601,-0.571753740310669,0.4706583023071289,0.7632704973220825
2025-09-26_16-45-00-95032692,95032692,waldo_1,5.0,3,2,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.19012999534606934,0.11288027465343475,-0.332718163728714,0.5272872447967529,0.6656225919723511
