model,n_folds,n_samples,accuracy,balanced_accuracy,macro_f1,window_s
majority,11,362,0.3729281767955801,0.25,0.1358148893360161,5.0
markov_1step,11,362,0.6546961325966851,0.6427051053075643,0.6407346687955052,5.0
mlp_transition,11,362,0.6270718232044199,0.5861340769127654,0.5912959092278126,5.0
majority,11,695,0.38848920863309355,0.25,0.13989637305699482,10.0
markov_1step,11,695,0.6920863309352518,0.6747905811282092,0.6731081975114124,10.0
mlp_transition,11,695,0.6661870503597123,0.6415668717244069,0.643919721083585,10.0
