world_index,marker_uid,corner_0_x,corner_0_y,corner_1_x,corner_1_y,corner_2_x,corner_2_y,corner_3_x,corner_3_y
2,apriltag_v3:tag36h11:23,1247.3648681640627,671.4515380859375,1289.8698730468752,667.2353515625,1296.1655273437498,618.5578002929689,1250.2523193359373,621.9105224609376
3,apriltag_v3:tag36h11:23,1251.5578613281248,665.1535034179688,1295.62109375,662.3225708007809,1301.80419921875,613.1416625976562,1255.6224365234373,615.1537475585941
5,apriltag_v3:tag36h11:23,1263.8399658203127,645.4929199218751,1306.4205322265625,642.4463500976561,1312.5035400390625,592.9984130859373,1266.5911865234377,594.2368774414062
6,apriltag_v3:tag36h11:23,1272.0390625000002,642.8507690429689,1314.6229248046875,639.9404296875,1321.294921875,591.2662963867188,1275.6779785156252,591.9189453125
7,apriltag_v3:tag36h11:21,388.66662597656256,678.8128662109376,433.3437805175781,677.6574096679689,424.9075927734375,627.9784545898438,379.4500732421875,629.7053833007811
7,apriltag_v3:tag36h11:23,1281.4644775390625,635.802001953125,1323.61865234375,633.0878295898436,1330.6958007812498,583.2122802734376,1285.4017333984373,584.8176879882815
15,apriltag_v3:tag36h11:23,1213.5390625,747.4626464843751,1256.9189453125,743.6825561523436,1264.2178955078125,694.6863403320312,1217.5961914062498,697.0238647460939
16,apriltag_v3:tag36h11:21,311.29217529296875,774.278564453125,355.4555358886718,776.1864624023436,348.1971435546875,725.4259643554686,303.2429504394532,724.6156005859375
16,apriltag_v3:tag36h11:23,1212.6785888671877,741.34765625,1257.07568359375,736.9198608398436,1264.29443359375,689.1997680664064,1218.1434326171875,691.3544311523438
17,apriltag_v3:tag36h11:21,318.6381530761719,773.5582885742188,361.91958618164057,774.3388061523436,354.7950744628906,723.9072265625,310.33807373046875,722.9204101562501
17,apriltag_v3:tag36h11:22,1226.5123291015625,217.71127319335938,1271.8082275390625,222.05526733398438,1264.8084716796877,174.37977600097653,1220.2194824218752,167.35304260253903
17,apriltag_v3:tag36h11:23,1222.80615234375,735.481201171875,1265.1148681640623,731.1888427734374,1272.4279785156252,682.3178710937499,1226.1495361328125,684.3943481445312
18,apriltag_v3:tag36h11:21,325.47729492187506,774.0313720703124,369.3862609863281,775.7379760742189,361.44491577148426,724.9553833007814,316.4061279296875,724.4119873046875
18,apriltag_v3:tag36h11:22,1231.8197021484377,215.29159545898438,1278.0452880859377,220.489013671875,1269.8218994140623,171.34783935546872,1224.659423828125,163.614990234375
18,apriltag_v3:tag36h11:23,1228.2435302734377,734.6467285156251,1272.3641357421875,730.1145019531249,1279.1812744140625,680.6857299804686,1232.812255859375,683.3069458007811
19,apriltag_v3:tag36h11:21,326.7785034179688,776.6453247070312,370.3295593261719,778.2588500976562,363.70153808593744,728.0195922851562,318.13580322265625,727.6934204101562
19,apriltag_v3:tag36h11:22,1233.6746826171877,217.23783874511716,1280.99658203125,222.7750244140625,1272.9884033203123,173.59768676757815,1227.662109375,166.10044860839844
20,apriltag_v3:tag36h11:23,1225.6376953125002,769.9718627929688,1270.362548828125,764.8186035156251,1277.095947265625,716.2269897460939,1230.3239746093752,719.1981811523436
22,apriltag_v3:tag36h11:21,329.6347961425782,799.9171752929689,373.90518188476557,801.1972656249999,366.3692932128905,752.1565551757812,321.06811523437494,750.837646484375
23,apriltag_v3:tag36h11:21,331.6177368164063,807.475341796875,375.9798583984375,808.6730957031249,369.1438293457031,760.2174682617186,323.5478820800782,758.4484863281251
24,apriltag_v3:tag36h11:21,329.6307067871093,811.3963623046875,373.5815124511719,813.9641723632812,366.90112304687506,763.1494140625001,321.60797119140625,761.5413818359375
24,apriltag_v3:tag36h11:22,1239.5382080078125,264.73086547851557,1286.3127441406252,269.629852294922,1278.519775390625,220.55233764648443,1233.2677001953123,213.29925537109366
24,apriltag_v3:tag36h11:23,1231.6263427734375,784.5892333984375,1276.5010986328125,779.5608520507812,1283.505126953125,730.8681030273438,1237.104736328125,733.426025390625
25,apriltag_v3:tag36h11:21,325.06945800781244,810.439697265625,369.65289306640625,813.2164916992189,362.9950256347656,762.5866088867189,317.1766662597656,760.55517578125
25,apriltag_v3:tag36h11:22,1240.64013671875,265.2964782714844,1287.3836669921875,270.43182373046875,1279.4342041015625,221.09013366699222,1234.3890380859375,213.7216796875
25,apriltag_v3:tag36h11:23,1231.3492431640625,784.7733764648438,1276.1723632812498,779.5806274414061,1283.5251464843752,730.8871459960936,1237.1284179687502,733.1426391601562
26,apriltag_v3:tag36h11:21,323.1307983398437,806.9220581054688,368.4719848632812,809.5364990234376,361.85583496093756,758.6467895507814,315.32315063476557,756.7486572265624
26,apriltag_v3:tag36h11:23,1235.632202148437,784.88037109375,1278.9903564453127,780.6101684570312,1286.3489990234377,731.6666870117189,1240.8521728515623,733.5474243164062
