cluster,centroid_x,centroid_y,n_fixations,sum_duration_s
0,0.3775589896819624,0.2628456177138417,35,9.363482
1,0.6678803379275682,0.31531457008647434,107,34.076485000000005
2,0.629769013609205,0.4720928688134466,4,1.055744
3,0.3411622948609627,0.42133006940295287,13,6.75101
4,0.18367270957020043,0.2399286545549679,16,3.9237450000000003
5,0.2618989779551823,0.6114322420954704,5,1.1561160000000001
6,0.35401896238327024,0.6647469818592071,4,0.7406219999999999
7,0.5109927350282669,0.6731568133831024,5,0.8660209999999999
8,0.6965021923184395,0.4419471278786659,2,0.36036499999999994
9,0.23336514542914097,0.5051198493378858,8,1.9516330000000002
10,0.6796346492095598,0.6817012742185403,10,2.4071239999999996
11,0.5984664936860402,0.7882653585076331,5,1.171388
12,0.7777194407546804,0.8612737264107203,8,1.551367
13,0.5040445544446508,0.8400920410374445,8,1.5266399999999998
14,0.19679294679409418,0.8455958384542893,3,1.231255
15,0.3891092344881996,0.8552029807652746,3,0.6907449999999999
16,0.39579036161303516,0.7643631983548401,6,1.1111339999999998
17,0.8152798185745875,0.6507704526185989,2,0.425373
