waldo,type,x,y,timestamp_s,duration_ms,cluster
waldo_1,peripheral,0.470158611025129,0.3960628850119455,6.946497024,300.258,0
waldo_1,direct,0.4807962328195572,0.3485326766967773,69.464467968,230.129,0
waldo_1,peripheral,0.4658108949661255,0.3751876287990146,85.96971008,415.374,0
waldo_1,peripheral,0.4946011219705854,0.3939157043184553,99.312084992,280.241,0
waldo_1,direct,0.4788068618093218,0.3638243590082441,99.807576064,280.258,0
waldo_1,direct,0.4787460893392563,0.3702013552188873,100.60833408,475.366,0
waldo_1,peripheral,0.4958846218445721,0.3598961093846489,113.029818112,795.7489999999999,0
waldo_1,direct,0.4846815440965735,0.3625758912252343,113.850567168,1096.0,0
waldo_1,peripheral,0.4612165167927742,0.3969256579875946,121.62781312,140.125,0
waldo_1,direct,0.4895164200237819,0.3796281814575195,122.398450944,275.236,0
waldo_1,peripheral,0.4624853829542796,0.36764062444369,124.310310912,240.127,0
waldo_1,peripheral,0.4890987839963701,0.3361769848399692,129.299942144,390.366,0
waldo_1,peripheral,0.4687797327836354,0.3680238823095957,129.715308032,280.25,0
waldo_1,direct,0.4882369637489319,0.3642161687215169,144.994424064,870.8739999999999,0
waldo_1,peripheral,0.4787365247805913,0.4125251372655232,145.895298048,250.25,0
waldo_1,direct,0.4848619685286567,0.3616301388967605,146.580939008,1030.866,0
waldo_1,peripheral,0.4949394688010216,0.41011843085289,147.852047104,170.25,0
waldo_1,peripheral,0.5019735417195729,0.3437033763953617,148.047297024,5640.246,0
