cluster,centroid_x,centroid_y,n_fixations,sum_duration_s
0,0.49548092037439345,0.3232897945703604,3,1.151244
1,0.4180714317548172,0.7218935846293598,36,7.99736
2,0.5523398101329804,0.8063390523195266,2,0.42037
3,0.588559128344059,0.4022160694003105,2,0.28013200000000005
4,0.4673874525560273,0.13944303680349276,6,1.4663789999999999
5,0.3709795475573766,0.322915062402922,5,1.286122
6,0.39388805876175564,0.24456477496359083,3,0.530487
7,0.8163771205478245,0.8138520364960035,4,0.9507619999999999
8,0.8262655839323998,0.7052178457379341,2,0.340368
9,0.8238176584243776,0.5940258085727692,3,0.5953809999999999
10,0.8302447027630276,0.26219444653344526,3,0.700624
11,0.8107808758815128,0.12071881393591562,5,0.9107419999999999
12,0.8022243876187575,0.3644250361692338,6,1.416233
13,0.20450824123496805,0.3363838219394286,4,0.9156139999999999
14,0.1983319363310868,0.1778854553091835,4,1.020875
15,0.3480072480109003,0.11564965976609122,4,1.055874
16,0.2253925055265426,0.4565390621622403,2,0.4555
17,0.31247391535176167,0.6600888927777607,3,0.650652
