waldo,type,x,y,timestamp_s,duration_ms
waldo_1,peripheral,0.470158611025129,0.3960628850119455,6.946497024,300.258
waldo_1,direct,0.4807962328195572,0.3485326766967773,69.464467968,230.129
waldo_1,peripheral,0.4658108949661255,0.3751876287990146,85.96971008,415.374
waldo_1,peripheral,0.4946011219705854,0.3939157043184553,99.312084992,280.241
waldo_1,direct,0.4788068618093218,0.3638243590082441,99.807576064,280.258
waldo_1,direct,0.4787460893392563,0.3702013552188873,100.60833408,475.366
waldo_1,peripheral,0.4958846218445721,0.3598961093846489,113.029818112,795.7489999999999
waldo_1,direct,0.4846815440965735,0.3625758912252343,113.850567168,1096.0
waldo_1,peripheral,0.4612165167927742,0.3969256579875946,121.62781312,140.125
waldo_1,direct,0.4895164200237819,0.3796281814575195,122.398450944,275.236
waldo_1,peripheral,0.4624853829542796,0.36764062444369,124.310310912,240.127
waldo_1,peripheral,0.4890987839963701,0.3361769848399692,129.299942144,390.366
waldo_1,peripheral,0.4687797327836354,0.3680238823095957,129.715308032,280.25
waldo_1,direct,0.4882369637489319,0.3642161687215169,144.994424064,870.8739999999999
waldo_1,peripheral,0.4787365247805913,0.4125251372655232,145.895298048,250.25
waldo_1,direct,0.4848619685286567,0.3616301388967605,146.580939008,1030.866
waldo_1,peripheral,0.4949394688010216,0.41011843085289,147.852047104,170.25
waldo_1,peripheral,0.5019735417195729,0.3437033763953617,148.047297024,5640.246
waldo_2,peripheral,0.5924301862716674,0.3195065677165985,158.842290176,450.375
waldo_2,direct,0.6069898860795158,0.3450028555733817,173.105531136,250.125
waldo_3,peripheral,0.2177505195140838,0.2303517341613769,262.478345984,185.125
waldo_3,direct,0.2263736538589,0.2165229767560959,339.810051072,175.117
waldo_3,peripheral,0.2479107643549259,0.1767032375702491,342.602541312,565.5
waldo_4,peripheral,0.5381555060545603,0.2744221687316894,353.868038144,230.245
waldo_4,peripheral,0.5608051061630249,0.3210763096809387,362.946401024,180.252
waldo_4,peripheral,0.5595801949501038,0.2908682346343994,367.871023104,175.125
waldo_4,peripheral,0.5350472033023834,0.2725392977396647,372.385148928,235.245
waldo_4,peripheral,0.5583101391792298,0.2785768826802571,432.2456,675.625
waldo_4,peripheral,0.5708994099072048,0.2960541674068996,438.096100096,280.246
waldo_4,peripheral,0.5557255506515503,0.2800668597221374,439.237095168,205.25
waldo_4,peripheral,0.5681213294637615,0.2969390688271358,443.265842176,1356.249
