waldo,type,x,y,timestamp_s,duration_ms
waldo_1,peripheral,0.496992152929306,0.3463487923145294,34.266739968,430.374
waldo_1,direct,0.4793590456247329,0.3780239820480346,40.082113024,150.125
waldo_1,direct,0.4839481264352798,0.359045793612798,54.640608,240.263
waldo_1,peripheral,0.4628846794366836,0.3741636633872985,63.31360384,435.5
waldo_1,direct,0.4750985416673844,0.3762855866262989,63.769103872,3092.878
waldo_2,peripheral,0.5979150434335073,0.2439124931891759,67.86285184,555.5
waldo_2,direct,0.6301968079624753,0.2413050243348786,68.438351872,1861.75
waldo_3,peripheral,0.2153593599796295,0.2004089951515197,73.052602624,550.626
waldo_3,direct,0.2439132337059293,0.2085454770496913,76.43584896,1956.749
waldo_4,direct,0.5502856771151224,0.3190676940812005,82.07097088,2342.258
