waldo,type,x,y,timestamp_s,duration_ms
waldo_1,peripheral,0.4893663691149817,0.3459910419252183,30.313124864,355.249
waldo_1,peripheral,0.4583991340228489,0.3548901634556906,36.889128192,640.621
waldo_1,peripheral,0.4937091966470082,0.3371201554934184,39.471623936,220.125
waldo_1,peripheral,0.4651850249086107,0.3883471318653652,41.223249152,290.25
waldo_1,peripheral,0.4881777584552765,0.4117827773094177,74.318872064,200.125
waldo_1,peripheral,0.5031314770380656,0.3616848349571228,78.047371008,680.625
waldo_1,peripheral,0.4947796099715763,0.3511374327871535,78.742995968,840.7579999999999
waldo_1,peripheral,0.4743215560913086,0.343805980682373,113.314991872,175.125
waldo_1,peripheral,0.4843805357813835,0.4017448797821998,120.701865984,305.249
waldo_1,peripheral,0.4975293129682541,0.3922545686364174,121.452491008,365.379
waldo_1,direct,0.4705102613994053,0.3646145434606643,122.623614976,985.875
waldo_1,direct,0.4736457637378147,0.3641550285475595,126.231990016,300.25
waldo_1,peripheral,0.4655317902565002,0.3785455226898193,128.96448896,210.255
waldo_1,direct,0.4837425386204439,0.3537125447217156,129.399864064,795.75
waldo_1,peripheral,0.500924152135849,0.4117460250854492,130.465863936,200.25
waldo_1,peripheral,0.4978454898183162,0.3427082449197769,134.69986304,2542.375
waldo_2,direct,0.6417336106300354,0.337831962108612,139.454236928,210.25
waldo_2,direct,0.6219673007726669,0.2482220530509948,139.704500992,135.111
waldo_2,direct,0.6321556613995478,0.2076417757914616,139.874619904,615.617
waldo_3,peripheral,0.2214108519256115,0.1981568187475204,187.899102976,180.25
waldo_4,peripheral,0.5690919160842896,0.3039126396179199,192.548477952,115.125
waldo_4,peripheral,0.5597572380846197,0.2983933741396123,193.43922688,1056.0
