metric_left,metric_right,n_rows,pearson_r,spearman_rho,pearson_p,spearman_p,spearman_p_holm
annotated_duration_s,ttff_waldo_s,31,0.3703373894365656,0.6064516129032259,0.04028820189684971,0.00029867893151724683,0.0011947157260689873
annotated_duration_s,waldo_fixation_ratio,42,-0.3274096759531324,-0.337775938169553,0.03429820033848903,0.02868971486718035,0.08606914460154105
annotated_duration_s,gaze_entropy,42,0.6634758489398545,0.9635361802123006,1.677680948856815e-06,1.6276287770363374e-24,1.1393401439254361e-23
annotated_duration_s,transition_entropy_4x4,42,0.5554399656336543,0.807860618535933,0.00013441546205507335,1.0026257781343664e-10,5.013128890671832e-10
ttff_waldo_s,NSS_all_vs_saliency,31,-0.20459110443936032,-0.20645161290322583,0.2695788104209733,0.2651529364398629,0.4924833370372408
waldo_fixation_ratio,NSS_all_vs_saliency,40,0.2653236019499402,0.18765341768709842,0.09799579652510926,0.2462416685186204,0.4924833370372408
spatial_coverage_hull,transition_entropy_4x4,42,0.5906487937141401,0.8108918520373104,3.825458625197789e-05,7.517139204694502e-11,4.510283522816701e-10
