recording_id,participant_id,level_name,annotated_duration_s,gaze_points_raw,gaze_points_per_s,gaze_in_bounds_ratio_raw,gaze_entropy_raw
2025-09-26_16-24-13-61db42a9,61db42a9,waldo_3,60.785,10883,179.04088179649585,0.9948543600110263,7.528957096587925
2025-09-26_16-24-13-61db42a9,61db42a9,waldo_4,35.35999999999999,6103,172.5961538461539,0.9885302310339178,6.511299199917389
2025-09-26_16-45-00-95032692,95032692,waldo_1,98.074,15448,157.51371413422518,0.9903547384774728,7.888704400526144
2025-09-26_16-45-00-95032692,95032692,waldo_2,10.638999999999996,1367,128.4895196917004,0.9839063643013899,5.857843637287093
2025-09-26_16-45-00-95032692,95032692,waldo_3,5.025000000000006,699,139.10447761194015,1.0,2.4531019258535602
2025-09-26_16-45-00-95032692,95032692,waldo_4,14.481999999999985,1617,111.65584863969076,1.0,5.110009289978714
2025-09-26_19-01-53-2ec86210,2ec86210,waldo_1,311.217,60800,195.36207854969362,0.9900328947368421,7.82332150450467
2025-09-26_19-01-53-2ec86210,2ec86210,waldo_2,11.329999999999984,2111,186.31950573698174,0.995736617716722,6.101070394870911
2025-09-26_19-01-53-2ec86210,2ec86210,waldo_3,90.04500000000002,17075,189.6274085179632,0.9515080527086384,7.233248852778146
2025-09-26_19-01-53-2ec86210,2ec86210,waldo_4,27.88100000000003,5181,185.8254725440262,0.9976838448176027,6.943838936597669
2025-09-26_19-10-19-05411873,05411873,waldo_1,79.06,14161,179.11712623324058,0.9985876703622626,7.20137457605377
2025-09-26_19-10-19-05411873,05411873,waldo_2,3.891999999999996,767,197.07091469681419,0.9608865710560626,3.990730719647793
2025-09-26_19-10-19-05411873,05411873,waldo_3,3.792999999999992,650,171.36831004481976,1.0,2.9063600921614805
2025-09-26_19-10-19-05411873,05411873,waldo_4,15.960000000000008,2868,179.69924812030067,1.0,5.010574653607361
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_1,128.20499999999998,24212,188.85378885378887,0.9935569139269783,7.663350090805143
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_2,1.5769999999999982,305,193.40519974635407,1.0,2.720512794094527
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_3,45.269000000000005,6524,144.11628266584194,0.9780809319435929,7.4096364813269995
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_4,1.429000000000002,286,200.13995801259594,1.0,1.565876448103261
2025-09-26_19-17-52-c0419fea,c0419fea,waldo_1,17.733,2838,160.0406022669599,0.9968287526427061,5.750744882590174
2025-09-26_19-17-52-c0419fea,c0419fea,waldo_2,17.142000000000003,2902,169.29179792322947,1.0,6.423818170604946
2025-09-26_19-17-52-c0419fea,c0419fea,waldo_3,23.496000000000002,3539,150.6213823629554,0.985306583780729,6.445096326379023
2025-09-26_19-17-52-c0419fea,c0419fea,waldo_4,2.710000000000008,541,199.6309963099625,1.0,2.7581461856392346
2025-09-26_19-27-31-2699d4a1,2699d4a1,waldo_1,60.736,11423,188.07626448893572,0.9962356648866323,6.4152182625537915
2025-09-26_19-27-31-2699d4a1,2699d4a1,waldo_2,13.595000000000006,2088,153.5858771607208,0.9554597701149425,5.862079148330585
2025-09-26_19-27-31-2699d4a1,2699d4a1,waldo_3,16.305000000000007,2652,162.64949402023913,0.9649321266968326,6.144835326829394
2025-09-26_19-27-31-2699d4a1,2699d4a1,waldo_4,7.6839999999999975,1251,162.8058302967205,0.9760191846522782,4.314757164131415
2025-09-26_19-29-58-b4f7a1df,b4f7a1df,waldo_1,114.921,20049,174.4589761662359,0.9989026884133873,8.140187517933427
2025-09-26_19-29-58-b4f7a1df,b4f7a1df,waldo_2,3.3499999999999943,470,140.2985074626868,1.0,2.6627723762685305
2025-09-26_19-29-58-b4f7a1df,b4f7a1df,waldo_3,6.1580000000000155,1163,188.8600194868459,1.0,4.862093828444482
2025-09-26_19-29-58-b4f7a1df,b4f7a1df,waldo_4,2.3649999999999807,468,197.88583509513904,1.0,2.8015819547504726
2025-09-26_19-37-31-91230d39,91230d39,waldo_1,33.24900000000001,6052,182.02051189509453,0.9928949107732981,6.649150871036076
2025-09-26_19-37-31-91230d39,91230d39,waldo_2,2.118000000000009,343,161.9452313503298,0.9912536443148688,3.167669318922894
2025-09-26_19-37-31-91230d39,91230d39,waldo_3,6.600999999999999,876,132.7071655809726,0.9885844748858448,4.9692095331483515
2025-09-26_19-37-31-91230d39,91230d39,waldo_4,3.2510000000000048,621,191.01814826207294,1.0,1.6401897174115256
2025-09-26_19-39-21-36589e44,36589e44,waldo_1,143.491,28450,198.2702747907534,0.9919156414762742,7.945599303008555
2025-09-26_19-39-21-36589e44,36589e44,waldo_2,33.792,6741,199.48508522727272,0.9909508974929536,7.486116271521794
2025-09-26_19-39-21-36589e44,36589e44,waldo_3,156.248,30733,196.6937176795863,0.9847720691113786,8.501844745783924
2025-09-26_19-39-21-36589e44,36589e44,waldo_4,91.03000000000003,17357,190.67340437218493,0.987785907702944,7.455264670186168
2025-09-26_20-20-21-410567f0,410567f0,waldo_1,95.90700000000001,16975,176.99437997226477,0.9811487481590574,7.822333743160566
2025-09-26_20-20-21-410567f0,410567f0,waldo_2,4.088999999999999,806,197.11420885302036,0.9875930521091811,4.502706268420102
2025-09-26_20-20-21-410567f0,410567f0,waldo_3,32.70800000000001,5973,182.6158737923443,0.994475138121547,6.9572695278490935
2025-09-26_20-20-21-410567f0,410567f0,waldo_4,91.86699999999999,16306,177.49572751913092,0.9729547405862873,7.775814666282034
