participant_id,levels_available,annotated_duration_s_mean,annotated_duration_s_std,annotated_duration_s_cv,ttff_waldo_s_mean,ttff_waldo_s_std,ttff_waldo_s_cv,waldo_fixation_ratio_mean,waldo_fixation_ratio_std,waldo_fixation_ratio_cv,gaze_entropy_mean,gaze_entropy_std,gaze_entropy_cv,transition_entropy_4x4_mean,transition_entropy_4x4_std,transition_entropy_4x4_cv,spatial_coverage_hull_mean,spatial_coverage_hull_std,spatial_coverage_hull_cv
05411873,4,25.67625,31.215622918460245,1.2157391721322328,3.063873440000001,0.11962147199999973,0.03904256306357083,0.0622044917257683,0.09302211366264881,1.4954243830613003,4.777260010367601,1.5850600918755269,0.3317927197673211,1.1473594814239512,0.33819716532740113,0.29476129391258915,0.19816618889090656,0.1834614432535833,0.9257958902090081
115b6a40,4,44.12,51.73015502586474,1.1724876479117121,16.595235679999995,17.770822206611907,1.070838796705291,0.2481585816144639,0.2385021228630067,0.961087548580289,4.839843953582482,2.7288481238929356,0.5638297742787813,1.2030468157323793,0.6331372377184509,0.5262781376741483,0.4022016568763568,0.3959355275499022,0.9844204288586984
2699d4a1,4,24.580000000000002,21.106142482699198,0.8586713784662,12.508925664,10.709072714852859,0.8561145059541749,0.08907862780813595,0.03532465336760529,0.3965558769460404,5.684222475461296,0.8144917548097722,0.1432899149049709,1.1363947321401178,0.3513418272918272,0.30917234773709484,0.21214522526970406,0.10417049643101671,0.49103389575976963
2ec86210,4,110.11825,119.75571619211962,1.087519245830002,15.314541408000006,8.693291360000005,0.5676494730334404,0.00708375426949535,0.010120856372172358,1.4287418771364824,7.025369922187849,0.6206684491970945,0.0883467285098925,1.2555262341378286,0.11749241722120522,0.09358021682588528,0.3006915551377294,0.25403304815566824,0.8448293402829701
36589e44,4,106.14025000000001,48.39538735445249,0.4559569753646942,18.744292832000006,29.07711572992046,1.551251679139391,0.024169654722278628,0.01468551343812982,0.6076012920694848,7.84720624762511,0.42492261871631887,0.054149541289923164,1.9552059720658719,0.17824278988130135,0.09116317790957333,0.763102851144785,0.14772634924798944,0.19358642026612088
410567f0,4,56.14275,39.10306258066623,0.6964935380020792,35.696238848,0.0,0.0,0.00476190476190475,0.008247860988423205,1.7320508075688774,6.764531051427949,1.3504296125336146,0.1996338847832693,1.6058318082639538,0.7710601338318103,0.4801624490583447,1.0549955007797416,0.5911870022934986,0.5603692166047679
61db42a9,2,48.07249999999999,12.712500000000002,0.2644443288782569,17.746181504,17.546560640000003,0.9887513342543577,0.0471306839604856,0.020285046376592997,0.4303999999999999,7.020128148252657,0.5088289483352684,0.07248143304362874,1.8207566012308232,0.04629939718806808,0.025428658150556695,0.7223604649147785,0.2176593371544343,0.30131679089069885
91230d39,4,11.304750000000006,12.776292857769818,1.1301703140511565,1.6685413280000043,0.7579360383600406,0.4542506833010484,0.20927419354838708,0.13037017777236912,0.622963469894943,4.106554860129712,1.8823808485705258,0.4583844396787305,0.7463855802840205,0.2805733047505343,0.37590933180108915,0.18523176832422208,0.18054706911372295,0.9747089861912929
95032692,4,32.05499999999999,38.264162887746544,1.1937034125018422,37.97864749999991,37.035587500000034,0.9751686786634548,0.016900409706901973,0.021515636187819563,1.273083703943152,5.3274148134113775,1.9461820844579714,0.3653145385935783,0.7932691058262447,0.8554605977765994,1.0783989840188948,1.0130507834071671,1.7136728659333518,1.6915962101818833
b4f7a1df,4,31.6985,48.068683466993356,1.5164340100318108,30.304723232,27.08075984,0.8936151514297387,0.03752587991718425,0.060884945980032676,1.6224788363230782,4.616658919349229,2.2128979354170513,0.4793288770245528,0.927189407258092,0.5273231668147116,0.5687329500173272,0.3220490098878317,0.22679471958691746,0.7042242411051322
c0419fea,4,15.270250000000003,7.664715075428438,0.5019377597241982,12.112646128,7.824845313517674,0.6460062674025867,0.13453431091763085,0.15347619932645234,1.1407959670631438,5.344451391303345,1.5190869737505959,0.284236278436829,1.3029994287656654,0.35572255911387085,0.273002851160762,0.28704042588604284,0.2021464410428208,0.7042438026589134
