recording_id,participant_id,level_name,window_s,effective_window_s,total_search_time_s,label_found_waldo,label_first_hit_direct,early_fix_count,early_fix_rate,early_avg_fix_duration_s,early_total_fix_duration_s,early_saccade_length_avg,early_saccade_length_median,early_scanpath_length_total,early_scanpath_length_per_s,early_spatial_coverage_hull,early_fixation_entropy_4x4,early_transition_entropy_4x4,early_unique_grid_cells_4x4,early_mean_distance_to_target,early_min_distance_to_target,early_gaze_entropy,early_gaze_count,early_mean_saliency,early_max_saliency,early_waldo_hit_count,early_direct_hit_count,early_peripheral_hit_count,early_hit_any,level_median_search_s,label_long_search
2025-09-26_16-24-13-61db42a9,61db42a9,waldo_3,5.0,5.0,60.785,1,0.0,16,3.2,0.277743625,4.443898,0.13631499130916683,0.1023294453558206,2.0447248696375024,0.4089449739275005,0.22693703722160627,2.827819531114783,0.9333333333333333,8,0.4172177188968239,0.10161983208504759,4.833790149482743,972,0.8535311222076416,0.9332093596458435,0,0,0,0,23.496000000000002,1
2025-09-26_16-24-13-61db42a9,61db42a9,waldo_4,5.0,4.999999999999993,35.35999999999999,1,0.0,16,3.2000000000000046,0.2652585625,4.244137,0.16053402110221365,0.14965903596074082,2.408010316533205,0.4816020633066417,0.2877064874217568,2.625,0.48300749985576874,7,0.3700610414945448,0.04751718371348456,4.48521639007734,958,0.6709203720092773,0.8039963841438293,1,0,1,1,14.481999999999985,1
2025-09-26_16-45-00-95032692,95032692,waldo_1,5.0,5.0,98.074,1,1.0,11,2.2,0.46545445454545464,5.119999000000001,0.11584847350637568,0.09695280799739348,1.1584847350637568,0.23169694701275137,0.11349564042386207,2.481714572986073,0.6000000000000001,6,0.32700705904023186,0.09284340490926354,3.6915294607458926,842,0.7462425231933594,0.8860937356948853,0,0,0,0,96.9905,1
2025-09-26_16-45-00-95032692,95032692,waldo_2,5.0,5.0,10.638999999999996,1,1.0,11,2.2,0.4472152727272727,4.9193679999999995,0.15325084009660161,0.11107904973543613,1.5325084009660161,0.30650168019320323,0.02322905184654749,1.4911148500551854,0.7509775004326937,4,0.17631518810678404,0.04468672726769436,4.807328947416476,619,0.8453238010406494,0.8986796140670776,1,1,0,1,7.363999999999997,1
2025-09-26_16-45-00-95032692,95032692,waldo_3,5.0,5.0,5.025000000000006,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.023004318841024,694,0.0,0.0,0,0,0,0,23.496000000000002,0
2025-09-26_16-45-00-95032692,95032692,waldo_4,5.0,5.000000000000014,14.481999999999985,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.391572564130804,330,0.0,0.0,0,0,0,0,14.481999999999985,0
2025-09-26_19-01-53-2ec86210,2ec86210,waldo_1,5.0,5.0,311.217,1,0.0,9,1.8,0.11066466666666666,0.9959819999999999,0.31091788615516663,0.14360657576236974,2.487343089241333,0.4974686178482666,0.09443479481693891,2.197159723424149,0.75,5,0.25040645607791573,0.04224322281974979,4.974207922488897,812,0.7271773815155029,0.9078230261802673,0,0,0,0,96.9905,1
2025-09-26_19-01-53-2ec86210,2ec86210,waldo_2,5.0,5.0,11.329999999999984,0,,5,1.0,0.13415,0.67075,0.1220587807744139,0.08599395837987833,0.4882351230976556,0.09764702461953112,0.0077221616814210844,1.5219280948873621,0.5,3,0.26419280594937367,0.17913494534336616,4.634018964311652,939,0.8495429158210754,0.9110252857208252,0,0,0,0,7.363999999999997,1
2025-09-26_19-01-53-2ec86210,2ec86210,waldo_3,5.0,5.0,90.04500000000002,0,,8,1.6,0.10762525,0.861002,0.13856322615597477,0.06295308816564525,0.9699425830918235,0.1939885166183647,0.04834524004162547,1.4056390622295665,0.7493017854052187,3,0.2874483554466968,0.11841719225888803,4.667035309085399,850,0.82407546043396,0.8509458303451538,0,0,0,0,23.496000000000002,1
2025-09-26_19-01-53-2ec86210,2ec86210,waldo_4,5.0,5.0,27.88100000000003,1,0.0,2,0.4,0.092624,0.185248,0.16485438608019057,0.16485438608019057,0.16485438608019057,0.032970877216038114,0.0,1.0,0.0,2,0.19895108243610038,0.131126492450656,5.319601155099348,840,0.676275372505188,0.6955299377441406,0,0,0,0,14.481999999999985,1
2025-09-26_19-10-19-05411873,05411873,waldo_1,5.0,5.000000000000001,79.06,1,1.0,12,2.3999999999999995,0.3269901666666667,3.9238820000000003,0.13159607111971638,0.10420058559092642,1.4475567823168802,0.289511356463376,0.1160925840878016,1.3250112108241772,0.6495679116115142,3,0.1658161539606228,0.012624126558018577,3.940913611999446,682,0.7530105113983154,0.9231759309768677,1,1,0,1,96.9905,0
2025-09-26_19-10-19-05411873,05411873,waldo_2,5.0,3.891999999999996,3.891999999999996,1,1.0,9,2.312435765673178,0.44487555555555564,4.0038800000000005,0.12858895769056233,0.1060456140063886,1.0287116615244987,0.2643144042971479,0.06647663170549717,2.0588138903312014,0.75,5,0.1685243815607815,0.011040693715668105,3.324108832472473,767,0.8206185102462769,0.9045579433441162,2,2,0,1,7.363999999999997,0
2025-09-26_19-10-19-05411873,05411873,waldo_3,5.0,3.792999999999992,3.792999999999992,0,,7,1.8455048774057512,0.6534445714285714,4.5741119999999995,0.09850289192237537,0.10864310045668826,0.5910173515342522,0.15581791498398453,0.03484518313492208,1.3787834934861753,0.8741854163060885,3,0.2656853692465498,0.06697264251088997,2.1704861759898533,650,0.8189424276351929,0.9117584824562073,0,0,0,0,23.496000000000002,0
2025-09-26_19-10-19-05411873,05411873,waldo_4,5.0,5.0,15.960000000000008,0,,15,3.0,0.2812833999999999,4.219250999999999,0.17917362130160178,0.1773086544347305,2.508430698222425,0.5016861396444849,0.13612155654188512,2.365596230357602,1.0260377126143057,6,0.17546403536819094,0.051393958912697886,3.6013178697332515,999,0.7420486807823181,0.8651974201202393,0,0,0,0,14.481999999999985,1
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_1,5.0,5.0,128.20499999999998,1,0.0,16,3.2,0.284954125,4.559266,0.09728015118141299,0.07971570741259859,1.4592022677211949,0.291840453544239,0.0660731683858385,2.35845859334435,0.5836591668108979,6,0.3120454440472853,0.17404603669692745,4.599819346196707,930,0.670984148979187,0.7227666974067688,0,0,0,0,96.9905,1
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_2,5.0,1.5769999999999982,1.5769999999999982,1,1.0,5,3.1705770450221977,0.28329379999999993,1.4164689999999998,0.10511748067319056,0.10768284995793082,0.42046992269276223,0.266626457002386,0.015272243384116143,1.5219280948873621,0.5,3,0.0850011014137587,0.015301084753434054,2.634732212963702,305,0.8258212208747864,0.9517759084701538,3,3,0,1,7.363999999999997,0
