recording_id,level_name,level_duration_s,total_fixations,avg_fixation_duration_s,total_fixation_duration_s,saccade_length_avg,saccade_length_median,scanpath_length_total,scanpath_length_per_s,fixation_dispersion,fixation_revisits,spatial_coverage_hull,fixation_grid_entropy_4x4,transition_entropy_4x4,unique_grid_cells_4x4,mean_distance_to_target,min_distance_to_target,waldo_fixations,waldo_fixation_duration_total_s,waldo_fixation_duration_avg_s,waldo_fixation_ratio,waldo_time_ratio,waldo_first_fixation_s,waldo_last_fixation_s,waldo_revisits,ttff_waldo_s,ttff_waldo_ratio,verification_time_after_first_hit_s,verification_time_ratio,direct_waldo_ratio,first_hit_type,gaze_entropy,surface_visibility_ratio_global,surface_gaze_ratio_global,fixation_density,fixation_rate_per_s,peripheral_gaze_rate,participant_id,exclude_any_quality,zero_fixations,valid_for_classification,level_duration_s_level_z,ttff_waldo_s_level_z,total_fixations_level_z,fixation_rate_per_s_level_z,scanpath_length_per_s_level_z,spatial_coverage_hull_level_z,fixation_grid_entropy_4x4_level_z,transition_entropy_4x4_level_z,gaze_entropy_level_z,waldo_fixation_ratio_level_z,waldo_time_ratio_level_z,direct_waldo_ratio_level_z,mean_distance_to_target_level_z,peripheral_gaze_rate_level_z,explorare_larga,orientare_eficienta,focus_pe_tinta,ritm_vizual
2025-09-26_16-24-13-61db42a9,waldo_3,60.785,149,0.359258100671141,53.52945700000001,0.1392861540487231,0.108050985063857,20.614350799211028,0.3391354906508353,0.2106277608452069,0.0,0.5047011277603441,3.6270286577609903,1.8670559984188912,15,0.4124412993807413,0.0069787454874511,4,4.273873000000001,1.0684682500000002,0.0268456375838926,0.0798415160460155,35.292742144,60.21073408,0.0,35.292742144,0.5806159767047792,25.492257855999995,0.4193840232952208,0.5,peripheral,7.528957096587925,0.8288469264764966,0.8159208050396793,0.0722249151720794,2.4512626470346306,0.5,61db42a9,False,False,True,0.6826165960024226,0.23032744051635354,0.8746803069053708,-0.016840772153684628,-0.5352902567070044,0.11379074238284483,0.19642891642157556,0.3815797538288042,0.3937237825807737,0.6208183221293723,0.861309910605104,1.090909090909091,0.026112329467367794,0.0,0.11004658770139879,-0.31301878866204796,0.6432593309108918,0.10751642601489393
2025-09-26_16-24-13-61db42a9,waldo_4,35.35999999999999,89,0.3484114831460673,31.008621999999995,0.1800792415085274,0.1380643998721533,15.846973252750416,0.4481610082791408,0.2353305454766222,1.0,0.9400198020692128,3.488994882189216,1.774457204042755,16,0.3101896302683743,0.0049043828704825,6,6.876375,1.1460625,0.0674157303370786,0.221756871363068,61.091620864,95.548472064,0.0,0.1996208639999963,0.0056453864253392,35.160379136,0.9943546135746608,0.3333333333333333,peripheral,6.511299199917389,0.8288469264764966,0.8159208050396793,0.0431410567135239,2.516968325791856,0.6666666666666666,61db42a9,False,False,True,0.7680861478218304,-0.12209968117355394,0.911660777385159,0.3104456672761095,0.4800949852723162,1.1508338047156115,0.7384323069866134,0.6164730789211532,0.4545783565719484,0.09773463769957229,0.17153321529984283,0.4,0.8919896515696578,0.7272727272727273,0.6880825064935285,-0.5126587060726447,0.3491351450680356,0.5674004766445283
2025-09-26_16-45-00-95032692,waldo_1,98.074,334,0.2941346137724551,98.24096100000004,0.16211981182733,0.0831976111879413,53.9858973385009,0.5504608493433621,0.2664489498643563,12.0,3.980789675784332,3.662931117979556,2.0393890923846065,16,0.2915939409510973,0.0243644844784875,5,3.623246,0.7246492,0.0149700598802395,0.0368812149547274,75.01423499999994,97.5354539999999,0.0,75.01423499999994,0.7648738197687455,23.059765000000056,0.2351261802312545,0.2,direct,7.888704400526144,0.6763300414144632,0.6715195632393085,0.1573245407442298,3.405591696066236,0.8,95032692,True,False,True,0.01818960162506087,1.855468825156477,0.48148148148148145,1.6068356216310509,3.0,3.0,0.6024604649575017,0.7443950679384674,0.1344166529451654,-0.5595960042373674,-0.4823157016637076,-0.4200244200244199,0.6443476251772552,0.4200244200244202,1.496254437168227,-0.839335350652931,-0.2604779264752687,1.696105701037511
2025-09-26_16-45-00-95032692,waldo_2,10.638999999999996,19,0.3505852631578947,6.66112,0.1547648276011217,0.1500084262426457,2.785766896820192,0.2618448065438662,0.1116198144977277,0.0,0.0714134578443363,2.0418145155018155,1.133687330920372,5,0.2392610098405433,0.0446867272676943,1,0.190125,0.190125,0.0526315789473684,0.0285424973578016,102.86005999999988,102.86005999999988,0.0,0.9430599999998748,0.0886417896418719,9.69594000000012,0.911358210358128,1.0,direct,5.857843637287093,0.6763300414144632,0.6715195632393085,0.0089495996231747,1.7858821317793032,0.0,95032692,True,False,True,0.3431744950619544,-0.9201639059815773,0.4857142857142857,-1.1452898812270527,-0.22187761934105082,-0.20164531265543517,-0.3020879405132999,0.2313950512130657,0.2539719456894863,-0.060043527366488054,-0.19270045938811825,0.5,-0.09926079841056004,0.0,-0.04804877512144677,0.2254167364433943,0.061814003311348426,-0.2938177382846059
2025-09-26_19-01-53-2ec86210,waldo_1,311.217,507,0.1238930887573964,62.813796,0.0697962580813801,0.0424971323719885,35.316906589178345,0.1134800045922245,0.1313069697598082,81.0,0.7283124985354653,2.539049172881689,1.4324528631545264,14,0.2444571285709686,0.0172277545726495,2,0.230125,0.1150625,0.0039447731755424,0.0036636060014586,6.621250048,309.96735488,0.0,6.621250048,0.0212753482232654,304.595749952,0.9787246517767346,0.0,peripheral,7.82332150450467,0.9564521293627922,0.9384680601297812,0.0565785068630733,1.6290883852745834,1.0,2ec86210,False,False,True,3.0,-0.392032478497749,1.3968253968253967,-1.2033228508752583,-1.8119516349701772,0.2144828346581516,-0.6428350269662475,-0.4108555895877689,0.07416435345336332,-0.8550205534161579,-0.8580956021090587,-1.1233211233211233,-0.11637963027347022,1.1233211233211235,-0.5153990126825359,-0.8305292970762603,-0.4282790388813041,-0.5394830296733463
2025-09-26_19-01-53-2ec86210,waldo_2,11.329999999999984,11,0.1223983636363636,1.346382,0.1434634686868217,0.0859939583798783,1.4346346868682178,0.1266226555046972,0.1124554395270423,0.0,0.0705595036334253,1.8585552118703144,1.2,4,0.2735267365923354,0.1570068491846644,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.329999999999984,,,,0.0,none,6.101070394870911,0.9564521293627922,0.9384680601297812,0.0012275415690213,0.9708737864077684,0.0,2ec86210,False,False,True,0.4155816938673916,3.0,0.02857142857142857,-2.8402780738293516,-0.8057078976684833,-0.20447813905090334,-0.5249445615857982,0.3113790497513966,0.34514022764595603,-0.3548026617110662,-0.24987815170929273,-1.5,0.09926079841055988,0.0,-0.17572226418156642,-1.1716141640926505,-0.5261702033550897,-1.2058048476421355
2025-09-26_19-01-53-2ec86210,waldo_3,90.04500000000002,69,0.1140256811594202,7.867771999999999,0.1060554620236824,0.0677635016949654,7.211771417610405,0.080090748154927,0.1266232696574607,2.0,0.2394290691747379,1.8826160078610832,1.112781384993322,7,0.2454138660240688,0.0565086884580209,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.04500000000002,,,,0.0,none,7.233248852778146,0.9564521293627922,0.9384680601297812,0.0077000334784064,0.7662835249042145,0.0,2ec86210,False,False,True,1.2937404707700666,1.8533972469221198,0.056265984654731455,-2.9703742415611747,-2.4009135784952043,-0.8227850335947337,-1.3204608036926617,-0.4526314935187453,0.25307265744708546,-0.20333798337684514,-0.06945274641358731,0.0,-1.2192545106372108,-0.8,-0.948743650370852,-0.6426277356849919,-0.2681976824476081,-1.7716739451338823
2025-09-26_19-01-53-2ec86210,waldo_4,27.88100000000003,41,0.1089958292682927,4.468829,0.097236884405692,0.0601056730795582,3.889475376227684,0.1395027214313575,0.1072017113625038,1.0,0.164465149207289,2.051709463673241,1.2768706884034666,6,0.1680396145478086,0.0498578413682204,1,0.13,0.13,0.024390243902439,0.0290903948215516,447.484832768,447.484832768,0.0,24.00783276800001,0.8610821981994903,3.8731672320000143,0.1389178018005096,0.0,peripheral,6.943838936597669,0.9564521293627922,0.9384680601297812,0.0045753822118067,1.470535490118717,1.0,2ec86210,False,False,True,0.5240332843857082,1.7886262993784081,0.2332155477031802,-0.760266284987213,-0.9147529441582625,0.07112379558961182,-0.041951402098205,0.13418039262500187,0.5609397445250554,-0.11928480074535197,-0.1978758828690947,0.0,-0.13209412319945465,1.090909090909091,-0.03809208270335971,-0.7268551535215538,0.19343710182366108,-0.48060122714743175
2025-09-26_19-10-19-05411873,waldo_1,79.06,188,0.3711188031914893,69.77033499999999,0.0971038991925227,0.0791935724533209,18.158429149001748,0.2296790937136573,0.1947556222951804,5.0,0.4991330260138521,3.32480925104892,1.473059523475235,14,0.2983619070066303,0.0126241265580185,5,5.620127,1.1240254,0.026595744680851,0.0805518133172214,9.939251968,84.49337088,0.0,2.944251968000001,0.037240728155831,76.115748032,0.962759271844169,0.4,direct,7.20137457605377,0.8707482993197279,0.8621211533237612,0.0815972222222222,2.3779408044523147,0.6,05411873,False,False,True,-0.30101398425302595,-0.5128644320107303,-0.291005291005291,-0.0187520382988499,-0.5178330431838598,-0.5163712053242882,0.2278111181589847,-0.33356432112130857,-0.4989783930643512,-0.2480836796052866,0.011715434898035166,0.28327228327228343,0.753573853732747,-0.2832722832722835,-0.3277871689069646,0.020101520843669746,-0.05909206117681287,-0.2758634574960002
2025-09-26_19-10-19-05411873,waldo_2,3.891999999999996,9,0.4448755555555556,4.0038800000000005,0.1285889576905623,0.1060456140063886,1.0287116615244989,0.2643144042971479,0.1106679119660456,0.0,0.0664766317054971,2.058813890331201,0.75,5,0.1685243815607815,0.0110406937156681,2,1.791749,0.8958745,0.2222222222222222,0.4475031719232344,91.159494912,91.795126016,0.0,3.1834949120000005,0.8179586104830431,0.7085050879999955,0.1820413895169569,1.0,direct,3.990730719647793,0.8707482993197279,0.8621211533237612,0.00390625,2.312435765673178,0.0,05411873,False,False,True,-0.3638173578183532,-0.008235976191605151,-0.08571428571428572,-0.05020638019236106,-0.21121497322445698,-0.21802226965998167,-0.2814154662664289,-0.2313950512130657,-0.4458748911094914,0.8897359055215976,0.6465815503350527,0.5,-0.5090798721912106,0.0,-0.27758453029468494,0.293711068733723,0.5090793639641626,-0.11571187971036793
