source_row,participant_real_id,participant_prezis_id,participant_real,participant_prezis,metoda,distanta_predictie,corect
27,b4f7a1df,410567f0,Participant 8,Participant 11,ritm_vizual,1.0670337593237154,0
28,b4f7a1df,95032692,Participant 8,Participant 2,ritm_vizual,2.027966613421305,0
29,b4f7a1df,115b6a40,Participant 8,Participant 5,ritm_vizual,0.5642794796043453,0
30,91230d39,b4f7a1df,Participant 9,Participant 8,ritm_vizual,1.0552650661025715,0
31,91230d39,05411873,Participant 9,Participant 4,ritm_vizual,0.3878122156304209,0
32,91230d39,c0419fea,Participant 9,Participant 6,ritm_vizual,0.631679826860231,0
33,91230d39,05411873,Participant 9,Participant 4,ritm_vizual,0.8221805444574348,0
34,36589e44,410567f0,Participant 10,Participant 11,ritm_vizual,0.613491374479583,0
35,36589e44,36589e44,Participant 10,Participant 10,ritm_vizual,1.9766576477252282,1
36,36589e44,36589e44,Participant 10,Participant 10,ritm_vizual,0.8369372121941258,1
37,36589e44,36589e44,Participant 10,Participant 10,ritm_vizual,1.1486918128243069,1
38,410567f0,c0419fea,Participant 11,Participant 6,ritm_vizual,0.7532560229331715,0
39,410567f0,95032692,Participant 11,Participant 2,ritm_vizual,0.5904775173031562,0
40,410567f0,c0419fea,Participant 11,Participant 6,ritm_vizual,0.3637285764432909,0
41,410567f0,36589e44,Participant 11,Participant 10,ritm_vizual,1.3068801732910318,0
