participant_id,level_name,distanta_stil_propriu,distanta_cel_mai_apropiat_alt_stil,stil_propriu_mai_apropiat
61db42a9,waldo_3,1.1406728474332992,1.8416852072706107,1
61db42a9,waldo_4,1.1406728474332994,1.84575212766616,1
95032692,waldo_1,3.123296013209374,3.4436928356106242,1
95032692,waldo_2,3.123296013209374,1.998698589675012,0
2ec86210,waldo_1,3.151668077697017,4.555823134566173,1
2ec86210,waldo_2,2.3484308647093037,4.510988347163503,1
2ec86210,waldo_3,2.4002845429562423,4.406569491181647,1
2ec86210,waldo_4,2.017959722743542,2.6505403379865315,1
05411873,waldo_1,1.321386817989553,1.8466322508950113,1
05411873,waldo_2,1.3292200959340277,0.7166749445198405,0
05411873,waldo_3,2.87636698794155,3.577852876383912,1
05411873,waldo_4,2.033274737857139,1.8396328271137001,0
115b6a40,waldo_1,1.7744438710541712,1.7930809809617372,1
115b6a40,waldo_2,2.668960125406647,2.5052219448789406,0
115b6a40,waldo_3,2.42869854968737,1.323060235678594,0
115b6a40,waldo_4,1.4577693479921148,2.745687446288922,1
c0419fea,waldo_1,3.3578085031496476,3.091740172879375,0
c0419fea,waldo_2,4.0462160379281675,2.790942830796544,0
c0419fea,waldo_3,1.4360627661642411,1.8878748532068408,1
c0419fea,waldo_4,2.2740964336650222,1.3790691820298873,0
2699d4a1,waldo_1,2.9723331033896807,2.8654956202374287,0
2699d4a1,waldo_2,2.953101193316351,2.038747955534427,0
2699d4a1,waldo_3,2.653263100581233,2.0937277495677904,0
2699d4a1,waldo_4,1.6041041006657348,1.4954138397484418,0
b4f7a1df,waldo_1,2.3202753228610384,2.2916917010594156,0
b4f7a1df,waldo_2,1.6131454816051265,1.6559148729710707,1
b4f7a1df,waldo_3,2.416382514253608,3.539724157932366,1
b4f7a1df,waldo_4,1.2831755022767068,1.5674543033589126,1
91230d39,waldo_1,2.1702841019164736,2.3060742936588516,1
91230d39,waldo_2,1.8906299831313336,2.319415496930968,1
91230d39,waldo_3,2.1667153439697135,3.5111825316517304,1
91230d39,waldo_4,1.616022187220018,1.3650424882145766,0
36589e44,waldo_1,2.8534142372686695,1.6091251345693358,0
36589e44,waldo_2,2.194849990827478,4.7254029570235705,1
36589e44,waldo_3,1.6741840541282156,3.559545046648736,1
36589e44,waldo_4,1.1360731777547115,3.262866880139263,1
410567f0,waldo_1,1.6295460403689648,1.4302894575093712,0
410567f0,waldo_2,2.391384959259354,2.4375059006798923,1
410567f0,waldo_3,2.0961007908772693,1.651696189284773,0
410567f0,waldo_4,3.827299722833519,3.7200554821202347,0
