participant_id,level_duration_s_level_z,ttff_waldo_s_level_z,total_fixations_level_z,fixation_rate_per_s_level_z,scanpath_length_per_s_level_z,spatial_coverage_hull_level_z,fixation_grid_entropy_4x4_level_z,transition_entropy_4x4_level_z,gaze_entropy_level_z,waldo_fixation_ratio_level_z,waldo_time_ratio_level_z,direct_waldo_ratio_level_z,mean_distance_to_target_level_z,peripheral_gaze_rate_level_z,explorare_larga,orientare_eficienta,focus_pe_tinta,ritm_vizual,levels_used,median_duration_s,median_ttff_s,median_waldo_fixation_ratio,median_gaze_entropy,participant_label,stil_dominant
61db42a9,0.7253513719121265,0.0541138796713998,0.8931705421452649,0.14680244756121244,-0.027597635717344082,0.6323122735492281,0.4674306117040945,0.4990264163749787,0.42415106957636106,0.35927647991447226,0.5164215629524734,0.7454545454545456,0.4590509905185128,0.36363636363636365,0.39906454709746364,-0.4128387473673464,0.4961972379894637,0.33745845132971114,2,48.07249999999999,17.746181504,0.0471306839604856,7.020128148252657,Participant 1,focus_pe_tinta
36589e44,2.202770024631734,0.1587847641012697,2.4563492063492065,1.3794826673904956,0.4834357210892445,1.0242546500116747,0.8876827602602256,0.7971960569910874,0.6485776066176163,-0.03300189229393812,-0.027137079954069842,0.1178682428682429,0.40001046564198606,0.6116772116772117,0.7682293589939697,-0.9205217514583299,0.16735162057436165,1.439755864942982,4,117.26050000000004,2.405893600000001,0.02283596365375415,7.715857787265175,Participant 10,ritm_vizual
410567f0,0.5867113067961748,1.0193640951384018,0.6580890726752113,0.03243420854652755,0.6832632098678423,1.4545840156746084,0.499938357937385,0.38481877965819,0.1766524754604627,-0.31269656839797894,-0.3356516264368916,-0.43605006105006106,0.8299647992500532,-0.13894993894993896,0.6398513677196976,-0.8120134003948766,-0.30583704870871764,0.45792883036319376,4,62.28750000000001,34.202119424,0.0,7.3665420970655635,Participant 11,explorare_larga
95032692,0.18068204834350765,0.4676524595874499,0.4835978835978836,0.2307728702019991,1.3890611903294745,1.3991773436722825,0.1501862622221009,0.48789505957576657,0.19419429931732585,-0.30981976580192777,-0.3375080805259129,0.03998778998779004,0.2725434133833476,0.2100122100122101,0.7241028310233901,-0.3069593071047683,-0.09933196158196013,0.7011439813764525,2,54.3565,37.97864749999991,0.033800819413803945,6.873274018906619,Participant 2,explorare_larga
2ec86210,1.3083388622557917,1.5624977669506948,0.42871958943868427,-1.9435603628132494,-1.4833315138230319,-0.1854141355994684,-0.632547948585728,-0.10448191018252895,0.308329245767865,-0.3831114998123553,-0.34382559577525834,-0.6558302808302808,-0.3421168664248939,0.35355755355755364,-0.41948925248457847,-0.8429065875938642,-0.2573024557150852,-0.9993907623991989,4,58.96300000000002,17.668916384,0.0019723865877712,7.088543894687907,Participant 3,focus_pe_tinta
05411873,-0.2593796321435988,-0.020449905212094943,-0.2051122683586331,-0.3081939361832416,-0.6642346448382972,-0.5424344375165787,-0.39773720702999227,-0.23464706403679975,-0.6660695041844299,0.04900142092369051,0.08379797075111617,0.19581807081807084,-0.17288020704021148,-0.27081807081807086,-0.5010245715212196,0.15090324813196843,0.014449847918701679,-0.39251361646005734,4,9.926000000000002,3.4882474559999963,0.0132978723404255,4.500652686627577,Participant 4,orientare_eficienta
115b6a40,-0.01574148268346763,-0.12956904129649421,0.12745837755733558,1.1845397440534082,0.17403028397041187,0.2619006023286293,-0.5176800448456033,-0.09454558174528598,-0.3549430757877545,1.2231620284711995,0.4953082209308096,0.009004884004884028,-0.5707191046462863,0.5887223887223888,-0.10624756321592049,0.23867654287541606,0.5790493805323205,0.49534280186038526,4,23.423000000000002,11.382180895999994,0.1926406926406926,5.0650746377107625,Participant 5,focus_pe_tinta
c0419fea,-0.17487583974238557,0.6233421629108419,0.10618234935018034,-0.1661027671203321,0.04316248195930597,-0.12177796995375051,0.0801011643971146,-0.0007457908455117956,-0.48994703931838746,0.776667881963239,0.8301267917322495,0.416896991896992,0.035255215452592026,0.2808302808302809,-0.09784143075224577,-0.1612405128736828,0.5761304866056903,-0.00558597860361526,4,17.4375,12.644682688,0.0518272425249169,6.08728152659756,Participant 6,focus_pe_tinta
2699d4a1,-0.08428347085212373,-0.007575853721006526,-0.018009830722545257,-0.40319980663001764,-0.5940765551922551,-0.41443538317700207,-0.23013235103941093,-0.30618206748491916,-0.32951454023555665,0.9875848678607353,0.7647456930519942,0.4436202686202687,-0.458263140937795,0.2647130647130646,-0.3748681794258288,0.18337415517030842,0.6151659735615157,-0.3384287308482727,4,14.950000000000006,8.665109184000002,0.0703703703703703,6.0034572375799895,Participant 7,focus_pe_tinta
b4f7a1df,-0.2216294822679494,0.1756848148825341,-0.17943985911054133,0.4119964259322738,0.9633009699357402,-0.036558399837844556,0.18546774294394372,-0.4177804602826234,-0.47746314297637765,-0.19173554597923817,0.01578912993737991,0.2837301587301587,0.2155726510818162,-0.3587301587301588,0.043393341956567674,-0.05654266123213366,-0.06273660401046458,0.3986191789191576,4,4.754000000000005,4.690981696000009,0.0036231884057971,3.8318378915974773,Participant 8,ritm_vizual
91230d39,-0.5871362306929166,-0.5578199545112028,-0.4734632102444091,-0.1604778220023058,-0.39469093471292443,-0.47279145384475835,-0.6703384400761153,-0.706330495536402,-0.8323187971691649,1.5959828422149913,1.581109697139925,0.6943695193695194,-0.6964072679438279,0.0866910866910866,-0.615294024267873,0.6137878177159826,0.9895382863538806,-0.3428773223198798,4,4.926000000000002,1.5202272320000032,0.19166666666666665,4.068439426035623,Participant 9,focus_pe_tinta
