waldo,type,x,y,timestamp_s,duration_ms,cluster
waldo_3,peripheral,0.2439652693768342,0.2539742638667424,35.292742144,500.374,-1
waldo_3,direct,0.2399256014161639,0.2213149534331427,47.34386304,410.375,-1
waldo_3,peripheral,0.2543083935976028,0.2189832727114359,53.924985856,2912.6240000000003,-1
waldo_3,direct,0.2404365953471925,0.2255756656328837,60.21073408,450.5,-1
waldo_4,peripheral,0.5541472733020782,0.3732628027598063,61.091620864,510.502,-1
waldo_4,direct,0.5516766607761383,0.3390051027139028,66.541606912,545.501,-1
waldo_4,direct,0.5505245377620062,0.3214223639418681,88.26672384,4714.373,-1
waldo_4,peripheral,0.5372407913208008,0.3560471653938293,93.306471936,205.125,0
waldo_4,peripheral,0.5414824210680448,0.3015691041946411,93.531597056,615.625,0
waldo_4,peripheral,0.5667500495910645,0.3129661083221435,95.548472064,285.249,0
