waldo,type,x,y,timestamp_s,duration_ms,cluster
waldo_1,peripheral,0.4701915442943573,0.3582162737846374,72.852483072,430.375,-1
waldo_1,direct,0.4844600937954367,0.3592119225083965,129.675090176,3558.374,-1
waldo_2,direct,0.6295283883810043,0.2258652398983637,135.975963392,2557.374,-1
