world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
18,2.511537632,"[[ 1.51892411e-03 -1.01927741e-04 -9.13256730e-01]
 [-2.64655980e-06 -2.53224910e-03  2.23840217e+00]
 [ 2.03520756e-04 -5.46808569e-05  9.13867442e-01]]","[[ 5.69792231e+02 -3.71984206e+01  6.60524258e+02]
 [-1.19062080e+02 -4.09186485e+02  8.83267781e+02]
 [-1.34018301e-01 -1.61993045e-02  1.00000000e+00]]",4,"[[ 1.54271025e-03 -1.13525786e-04 -9.31071694e-01]
 [-1.20638708e-04 -2.66451261e-03  2.40990533e+00]
 [ 3.36300074e-05 -9.20742203e-05  1.05803174e+00]]","[[ 6.29748038e+02 -4.99098649e+01  6.67861462e+02]
 [-5.05992315e+01 -4.03356171e+02  8.74206930e+02]
 [-2.44201710e-02 -3.35152856e-02  1.00000000e+00]]",4
19,2.560796632,"[[ 1.52119014e-03 -9.98058589e-05 -9.21326983e-01]
 [ 2.83659725e-06 -2.53552101e-03  2.23407552e+00]
 [ 2.07346479e-04 -5.67166329e-05  9.12437076e-01]]","[[ 5.67007840e+02 -3.71613420e+01  6.63520677e+02]
 [-1.19437943e+02 -4.09420842e+02  8.81853336e+02]
 [-1.36273723e-01 -1.70046775e-02  1.00000000e+00]]",4,"[[ 1.54421407e-03 -1.10847679e-04 -9.38923964e-01]
 [-1.16471467e-04 -2.66536591e-03  2.40497646e+00]
 [ 3.44630668e-05 -9.30712214e-05  1.05813687e+00]]","[[ 6.28871342e+02 -4.95733657e+01  6.70693148e+02]
 [-4.99237822e+01 -4.03590771e+02  8.72998277e+02]
 [-2.48732495e-02 -3.38843080e-02  1.00000000e+00]]",4
20,2.6100556320000003,"[[ 1.52197728e-03 -9.70678495e-05 -9.25013594e-01]
 [ 5.00016844e-06 -2.53676086e-03  2.23166884e+00]
 [ 2.08356306e-04 -5.74730133e-05  9.12295484e-01]]","[[ 5.66265350e+02 -3.67106054e+01  6.63961482e+02]
 [-1.19267383e+02 -4.09600698e+02  8.81040384e+02]
 [-1.36841204e-01 -1.74199045e-02  1.00000000e+00]]",4,"[[ 1.54455518e-03 -1.07879510e-04 -9.42449069e-01]
 [-1.14358141e-04 -2.66522136e-03  2.40155893e+00]
 [ 3.46549119e-05 -9.30994748e-05  1.05795171e+00]]","[[ 6.28758286e+02 -4.88924239e+01  6.71099344e+02]
 [-4.94587654e+01 -4.03671166e+02  8.72277737e+02]
 [-2.49483486e-02 -3.39214073e-02  1.00000000e+00]]",4
21,2.659314632,"[[ 1.51934132e-03 -9.40858033e-05 -9.21671226e-01]
 [ 1.26546987e-06 -2.53401357e-03  2.23017306e+00]
 [ 2.04092361e-04 -5.65577154e-05  9.14859955e-01]]","[[ 5.69398414e+02 -3.58976871e+01  6.61146207e+02]
 [-1.17925683e+02 -4.09902980e+02  8.80425326e+02]
 [-1.34315064e-01 -1.73324150e-02  1.00000000e+00]]",4,"[[ 1.54194616e-03 -1.04849094e-04 -9.39222335e-01]
 [-1.15991889e-04 -2.66181462e-03  2.39764179e+00]
 [ 3.27894213e-05 -9.11274970e-05  1.05751345e+00]]","[[ 6.30727719e+02 -4.77266044e+01  6.68383806e+02]
 [-4.88955387e+01 -4.03597870e+02  8.71628950e+02]
 [-2.37698396e-02 -3.32988068e-02  1.00000000e+00]]",4
27,2.9548666320000003,"[[ 1.46683727e-03 -1.09221878e-04 -7.32189950e-01]
 [-8.06977927e-05 -2.50258830e-03  2.22647471e+00]
 [ 9.62044684e-05 -7.29978404e-05  1.00935173e+00]]","[[ 6.42297352e+02 -4.44849876e+01  5.64053492e+02]
 [-8.03459444e+01 -4.21499876e+02  8.71480477e+02]
 [-6.70301085e-02 -2.62435040e-02  1.00000000e+00]]",4,"[[ 1.51301063e-03 -1.21745358e-04 -7.67513183e-01]
 [-1.40142833e-04 -2.64899296e-03  2.35886857e+00]
 [ 1.03566714e-05 -9.49220646e-05  1.07566068e+00]]","[[ 6.52297715e+02 -5.06359773e+01  5.76474274e+02]
 [-4.35218520e+01 -4.06317596e+02  8.59979571e+02]
 [-1.01210515e-02 -3.53681097e-02  1.00000000e+00]]",4
28,3.004125632,"[[ 1.46619274e-03 -1.14681492e-04 -7.25409918e-01]
 [-8.68341741e-05 -2.50384593e-03  2.22706864e+00]
 [ 9.39160534e-05 -7.60295626e-05  1.01328510e+00]]","[[ 6.43231706e+02 -4.65509285e+01  5.62801892e+02]
 [-8.07223295e+01 -4.22104196e+02  8.69940985e+02]
 [-6.56745734e-02 -2.73570764e-02  1.00000000e+00]]",4,"[[ 1.51264553e-03 -1.26702666e-04 -7.61370714e-01]
 [-1.45139805e-04 -2.64885248e-03  2.35755978e+00]
 [ 9.68267628e-06 -9.60850145e-05  1.07692008e+00]]","[[ 6.52414649e+02 -5.20736392e+01  5.75248002e+02]
 [-4.45028917e+01 -4.06535053e+02  8.58510775e+02]
 [-9.83655245e-03 -3.58036915e-02  1.00000000e+00]]",4
29,3.053383632,"[[ 1.46132049e-03 -1.18533490e-04 -7.17431783e-01]
 [-1.06855664e-04 -2.51867818e-03  2.24749271e+00]
 [ 7.88310608e-05 -9.27147417e-05  1.03626849e+00]]","[[ 6.50279113e+02 -5.12687763e+01  5.61396113e+02]
 [-7.79536878e+01 -4.25335729e+02  8.68512846e+02]
 [-5.64425617e-02 -3.41545849e-02  1.00000000e+00]]",3,"[[ 1.52028759e-03 -1.31915797e-04 -7.59649106e-01]
 [-1.72787775e-04 -2.69643680e-03  2.41013208e+00]
 [-1.33948900e-05 -1.46026678e-04  1.13283941e+00]]","[[ 6.55649216e+02 -6.31632203e+01  5.74039921e+02]
 [-3.96533929e+01 -4.15333042e+02  8.57036590e+02]
 [ 2.64105915e-03 -5.42846304e-02  1.00000000e+00]]",4
30,3.1026426320000002,"[[ 1.46166531e-03 -1.20865392e-04 -7.12480683e-01]
 [-1.11142872e-04 -2.52094005e-03  2.25108193e+00]
 [ 7.64489122e-05 -9.70500376e-05  1.04151470e+00]]","[[ 6.50891234e+02 -5.27362370e+01  5.59244169e+02]
 [-7.78349992e+01 -4.26372991e+02  8.68297496e+02]
 [-5.50292920e-02 -3.58592029e-02  1.00000000e+00]]",3,"[[ 1.52162987e-03 -1.34227775e-04 -7.55435394e-01]
 [-1.75563510e-04 -2.69859660e-03  2.41243088e+00]
 [-1.34194150e-05 -1.49204038e-04  1.13550584e+00]]","[[ 6.54827756e+02 -6.41988627e+01  5.72040549e+02]
 [-4.04326451e+01 -4.15920706e+02  8.56742142e+02]
 [ 2.42595977e-03 -5.54101598e-02  1.00000000e+00]]",4
31,3.1519016320000004,"[[ 1.45705247e-03 -1.20820324e-04 -7.06956049e-01]
 [-1.13038968e-04 -2.51494528e-03  2.24634629e+00]
 [ 7.44070358e-05 -9.16320094e-05  1.03809237e+00]]","[[ 6.53851551e+02 -5.17126471e+01  5.57184351e+02]
 [-7.73474327e+01 -4.25538348e+02  8.68155168e+02]
 [-5.36933497e-02 -3.38555125e-02  1.00000000e+00]]",3,"[[ 1.51801045e-03 -1.34237611e-04 -7.50505533e-01]
 [-1.76828371e-04 -2.69413413e-03  2.40839164e+00]
 [-1.41513384e-05 -1.44511355e-04  1.13184485e+00]]","[[ 6.56698107e+02 -6.33025897e+01  5.70142621e+02]
 [-4.03699767e+01 -4.15108285e+02  8.56517951e+02]
 [ 3.05628204e-03 -5.37915395e-02  1.00000000e+00]]",4
32,3.201160632,"[[ 1.45873010e-03 -1.20740332e-04 -7.04191709e-01]
 [-1.11003348e-04 -2.51346771e-03  2.24091068e+00]
 [ 7.53742281e-05 -9.16377572e-05  1.03766070e+00]]","[[ 6.52950315e+02 -5.15827625e+01  5.54511281e+02]
 [-7.72012183e+01 -4.25760495e+02  8.67072238e+02]
 [-5.42471858e-02 -3.38528057e-02  1.00000000e+00]]",3,"[[ 1.52266039e-03 -1.34110199e-04 -7.49623584e-01]
 [-1.70328200e-04 -2.69151542e-03  2.39901075e+00]
 [-7.96791167e-06 -1.42322607e-04  1.12626583e+00]]","[[ 6.52719913e+02 -6.25395406e+01  5.67652196e+02]
 [-4.19110058e+01 -4.14681678e+02  8.55400476e+02]
 [-6.78409113e-04 -5.28444401e-02  1.00000000e+00]]",4
