world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
15,2.002480474,"[[ 1.19579424e-03 -9.86842397e-05 -3.48851814e-01]
 [ 8.37660936e-05 -2.16868824e-03  2.05792944e+00]
 [ 7.62363214e-05 -2.12209400e-04  1.17611332e+00]]","[[ 8.17748420e+02 -7.35360354e+01  3.71226977e+02]
 [-2.25801479e+01 -5.54337858e+02  9.63266933e+02]
 [-5.70811077e-02 -9.52540760e-02  1.00000000e+00]]",4,"[[ 1.32312279e-03 -1.32683005e-04 -4.25959960e-01]
 [ 7.77981683e-05 -2.45458517e-03  2.24529374e+00]
 [ 6.44409612e-05 -2.86310632e-04  1.23892207e+00]]","[[ 7.40777138e+02 -8.84478911e+01  4.14984049e+02]
 [-1.49203350e+01 -5.14826040e+02  9.27887435e+02]
 [-4.19786221e-02 -1.14374024e-01  1.00000000e+00]]",4
16,2.051739474,"[[ 1.19817259e-03 -9.81484632e-05 -3.53059271e-01]
 [ 8.73807044e-05 -2.17032106e-03  2.05495758e+00]
 [ 7.89702410e-05 -2.12640933e-04  1.17504325e+00]]","[[ 8.15347638e+02 -7.34626081e+01  3.73457391e+02]
 [-2.29969138e+01 -5.53963272e+02  9.61880979e+02]
 [-5.89580722e-02 -9.53104555e-02  1.00000000e+00]]",4,"[[ 1.32345586e-03 -1.31509160e-04 -4.29516538e-01]
 [ 8.01546011e-05 -2.45359004e-03  2.24091813e+00]
 [ 6.51643268e-05 -2.85933680e-04  1.23789081e+00]]","[[ 7.40426847e+02 -8.82408777e+01  4.16649155e+02]
 [-1.44609045e+01 -5.14812868e+02  9.26933368e+02]
 [-4.23173646e-02 -1.14268706e-01  1.00000000e+00]]",4
17,2.1009984740000003,"[[ 1.20100483e-03 -9.83560280e-05 -3.57339231e-01]
 [ 9.06670871e-05 -2.17481917e-03  2.05366850e+00]
 [ 8.19556278e-05 -2.14234891e-04  1.17483258e+00]]","[[ 8.12539299e+02 -7.38004830e+01  3.76150528e+02]
 [-2.37379332e+01 -5.53299087e+02  9.59975428e+02]
 [-6.10109586e-02 -9.57477745e-02  1.00000000e+00]]",4,"[[ 1.32392190e-03 -1.30891016e-04 -4.33101992e-01]
 [ 8.19806883e-05 -2.45487721e-03  2.23785331e+00]
 [ 6.59413142e-05 -2.86285826e-04  1.23737321e+00]]","[[ 7.39946158e+02 -8.82749032e+01  4.18643652e+02]
 [-1.42394283e+01 -5.14532991e+02  9.25575422e+02]
 [-4.27272614e-02 -1.14341039e-01  1.00000000e+00]]",4
18,2.150257474,"[[ 1.20303784e-03 -9.83735949e-05 -3.61439574e-01]
 [ 9.29692565e-05 -2.17733301e-03  2.05107906e+00]
 [ 8.43992484e-05 -2.15743203e-04  1.17475293e+00]]","[[ 8.10384887e+02 -7.41467081e+01  3.78791078e+02]
 [-2.44777999e+01 -5.53114583e+02  9.58188284e+02]
 [-6.27168425e-02 -9.62523971e-02  1.00000000e+00]]",4,"[[ 1.32353951e-03 -1.30031268e-04 -4.36511373e-01]
 [ 8.27403432e-05 -2.45381546e-03  2.23328537e+00]
 [ 6.61014705e-05 -2.86314806e-04  1.23684049e+00]]","[[ 7.40062747e+02 -8.82949904e+01  4.20615044e+02]
 [-1.39905344e+01 -5.14637133e+02  9.24310423e+02]
 [-4.27904273e-02 -1.14413947e-01  1.00000000e+00]]",4
19,2.199516474,"[[ 1.20508090e-03 -9.87518453e-05 -3.64434082e-01]
 [ 9.55835178e-05 -2.18092522e-03  2.04883135e+00]
 [ 8.66496619e-05 -2.18334504e-04  1.17576082e+00]]","[[ 8.08368116e+02 -7.47214948e+01  3.80765054e+02]
 [-2.48771863e+01 -5.53112645e+02  9.56119997e+02]
 [-6.41936444e-02 -9.72042790e-02  1.00000000e+00]]",4,"[[ 1.32354437e-03 -1.29428797e-04 -4.39138394e-01]
 [ 8.42746865e-05 -2.45390236e-03  2.22877442e+00]
 [ 6.65826974e-05 -2.87195196e-04  1.23691004e+00]]","[[ 7.39946477e+02 -8.84199641e+01  4.22025083e+02]
 [-1.36417703e+01 -5.14789826e+02  9.22750834e+02]
 [-4.29986673e-02 -1.14768189e-01  1.00000000e+00]]",4
20,2.248774474,"[[ 1.20784536e-03 -9.98400996e-05 -3.67631843e-01]
 [ 9.86517526e-05 -2.18583653e-03  2.04620548e+00]
 [ 8.95005032e-05 -2.21214138e-04  1.17661392e+00]]","[[ 8.05700334e+02 -7.55801148e+01  3.83178830e+02]
 [-2.54956907e+01 -5.52814954e+02  9.53413811e+02]
 [-6.60799533e-02 -9.81851596e-02  1.00000000e+00]]",4,"[[ 1.32389012e-03 -1.29296292e-04 -4.41946980e-01]
 [ 8.60547607e-05 -2.45455827e-03  2.22341850e+00]
 [ 6.73884132e-05 -2.87930309e-04  1.23653878e+00]]","[[ 7.39543652e+02 -8.86630319e+01  4.23742559e+02]
 [-1.34084960e+01 -5.14699721e+02  9.20688496e+02]
 [-4.34255571e-02 -1.15016844e-01  1.00000000e+00]]",4
21,2.2980334740000004,"[[ 1.21127597e-03 -9.99886232e-05 -3.73318433e-01]
 [ 1.03323950e-04 -2.18939296e-03  2.04129744e+00]
 [ 9.36725723e-05 -2.23008400e-04  1.17577243e+00]]","[[ 8.02157421e+02 -7.60201749e+01  3.86673415e+02]
 [-2.63958947e+01 -5.52369471e+02  9.50605991e+02]
 [-6.89135528e-02 -9.87113017e-02  1.00000000e+00]]",4,"[[ 1.32414677e-03 -1.28162126e-04 -4.46797731e-01]
 [ 8.88102396e-05 -2.45330064e-03  2.21576535e+00]
 [ 6.85488878e-05 -2.87645164e-04  1.23500920e+00]]","[[ 7.39074847e+02 -8.85966940e+01  4.26334031e+02]
 [-1.30382633e+01 -5.14638480e+02  9.18610686e+02]
 [-4.40589043e-02 -1.14946565e-01  1.00000000e+00]]",4
22,2.347292474,"[[ 1.21608238e-03 -9.97663425e-05 -3.82518694e-01]
 [ 1.10774392e-04 -2.19487443e-03  2.03571065e+00]
 [ 9.96166578e-05 -2.25829084e-04  1.17484762e+00]]","[[ 7.97157023e+02 -7.65939433e+01  3.92264120e+02]
 [-2.73307078e+01 -5.51829738e+02  9.47281284e+02]
 [-7.28453506e-02 -9.95781659e-02  1.00000000e+00]]",4,"[[ 1.32403744e-03 -1.26386413e-04 -4.54335364e-01]
 [ 9.30882680e-05 -2.45231870e-03  2.20690515e+00]
 [ 6.94167896e-05 -2.88161408e-04  1.23414272e+00]]","[[ 7.38924590e+02 -8.86810968e+01  4.30606876e+02]
 [-1.18422667e+01 -5.14834132e+02  9.16271446e+02]
 [-4.43273343e-02 -1.15221172e-01  1.00000000e+00]]",4
23,2.3965514740000002,"[[ 1.22063466e-03 -9.81494504e-05 -3.93267121e-01]
 [ 1.18915472e-04 -2.19981035e-03  2.02910441e+00]
 [ 1.05561216e-04 -2.28508329e-04  1.17367134e+00]]","[[ 7.92291918e+02 -7.67011509e+01  3.98081634e+02]
 [-2.79136840e+01 -5.51390082e+02  9.43918860e+02]
 [-7.66942194e-02 -1.00454493e-01  1.00000000e+00]]",4,"[[ 1.32343877e-03 -1.23189117e-04 -4.63232576e-01]
 [ 9.79052989e-05 -2.45052004e-03  2.19694618e+00]
 [ 6.98748919e-05 -2.88478888e-04  1.23324055e+00]]","[[ 7.39173439e+02 -8.83782129e+01  4.35090620e+02]
 [-1.01423899e+01 -5.15153113e+02  9.13905550e+02]
 [-4.42537586e-02 -1.15496834e-01  1.00000000e+00]]",4
24,2.445810474,"[[ 1.22541435e-03 -9.65189653e-05 -4.03305825e-01]
 [ 1.26840469e-04 -2.20526189e-03  2.02388953e+00]
 [ 1.11925293e-04 -2.31171059e-04  1.17238807e+00]]","[[ 7.87162040e+02 -7.67216865e+01  4.03231035e+02]
 [-2.89274316e+01 -5.50831527e+02  9.40947447e+02]
 [-8.08525180e-02 -1.01288314e-01  1.00000000e+00]]",4,"[[ 1.32366340e-03 -1.20236206e-04 -4.71570723e-01]
 [ 1.02812430e-04 -2.45012108e-03  2.18889027e+00]
 [ 7.12285951e-05 -2.89111113e-04  1.23233758e+00]]","[[ 7.38691071e+02 -8.80618535e+01  4.39086518e+02]
 [-9.04178348e+00 -5.15291248e+02  9.11805480e+02]
 [-4.48172710e-02 -1.15799361e-01  1.00000000e+00]]",4
