world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
18,1.8383397520000002,"[[ 1.04023226e-03 -1.56202823e-04 -2.02432244e-01]
 [-2.67056442e-04 -1.90157928e-03  1.81225342e+00]
 [-1.08455987e-04 -4.72438838e-05  1.07870051e+00]]","[[ 9.73174350e+02 -8.81571603e+01  3.30735898e+02]
 [-4.53135113e+01 -5.44679960e+02  9.06577119e+02]
 [ 9.58614525e-02 -3.27189689e-02  1.00000000e+00]]",3,"[[ 1.22014753e-03 -1.72039204e-04 -3.12850291e-01]
 [-2.79455127e-04 -2.16934526e-03  2.00656439e+00]
 [-3.85593963e-05 -4.08036687e-05  1.05039444e+00]]","[[ 8.15137008e+02 -7.17901934e+01  3.79921561e+02]
 [-8.02101376e+01 -4.71084815e+02  8.76021630e+02]
 [ 2.68073801e-02 -2.09351595e-02  1.00000000e+00]]",4
19,1.887597752,"[[ 1.04873330e-03 -1.56726684e-04 -2.00885853e-01]
 [-2.89341452e-04 -1.90351743e-03  1.83209297e+00]
 [-9.47002519e-05 -3.40233266e-05  1.06210650e+00]]","[[ 9.59725649e+02 -8.48808374e+01  3.27937821e+02]
 [-6.55416474e+01 -5.36259119e+02  9.12629924e+02]
 [ 8.34721525e-02 -2.47466293e-02  1.00000000e+00]]",4,"[[ 1.20706139e-03 -1.64594179e-04 -3.10954981e-01]
 [-2.97300860e-04 -2.12220989e-03  1.98287694e+00]
 [-4.69616843e-05 -1.84466158e-05  1.03400146e+00]]","[[ 8.26558731e+02 -6.73901027e+01  3.77802983e+02]
 [-8.20855791e+01 -4.72501986e+02  8.81418848e+02]
 [ 3.60757605e-02 -1.14901340e-02  1.00000000e+00]]",4
20,1.9368567520000002,"[[ 1.04028804e-03 -1.58493525e-04 -1.90848544e-01]
 [-2.99424422e-04 -1.88987704e-03  1.83224764e+00]
 [-9.77154441e-05 -3.00853011e-05  1.05922396e+00]]","[[ 9.66826482e+02 -8.62300353e+01  3.23361457e+02]
 [-6.85971993e+01 -5.38000263e+02  9.18274199e+02]
 [ 8.72432221e-02 -2.32357905e-02  1.00000000e+00]]",4,"[[ 1.20235666e-03 -1.68138649e-04 -3.01579569e-01]
 [-3.07733383e-04 -2.11275904e-03  1.98682921e+00]
 [-4.74000844e-05 -1.60182665e-05  1.03194998e+00]]","[[ 8.28861785e+02 -6.88037309e+01  3.74697466e+02]
 [-8.61831971e+01 -4.73172065e+02  8.85819090e+02]
 [ 3.67339638e-02 -1.05050624e-02  1.00000000e+00]]",4
21,1.9861157520000001,"[[ 1.00912968e-03 -1.36042890e-04 -1.65906104e-01]
 [-2.50213426e-04 -1.87638437e-03  1.75830956e+00]
 [-9.15365960e-05 -1.04802012e-05  1.03556441e+00]]","[[ 9.98513413e+02 -7.39900604e+01  2.85599715e+02]
 [-5.09258892e+01 -5.34268722e+02  8.98988876e+02]
 [ 8.77461647e-02 -1.19471487e-02  1.00000000e+00]]",2,"[[ 1.28733314e-03 -1.86516283e-04 -3.04400234e-01]
 [-2.89350800e-04 -2.28535486e-03  2.09271635e+00]
 [ 4.71175713e-05 -3.39240165e-05  1.01242831e+00]]","[[ 7.48590895e+02 -6.64759885e+01  3.62481599e+02]
 [-1.30691938e+02 -4.39814142e+02  8.69813282e+02]
 [-3.92179674e-02 -1.16433677e-02  1.00000000e+00]]",4
45,3.168324752,"[[ 8.95136432e-04 -5.41667945e-05 -1.18928827e-01]
 [-1.73472529e-04 -1.69375389e-03  1.62339078e+00]
 [-1.61885069e-04 -7.55764702e-06  1.03780387e+00]]","[[ 1.14419711e+03 -3.74381750e+01  1.89684018e+02]
 [ 5.42577813e+01 -5.96329748e+02  9.39030061e+02]
 [ 1.78876274e-01 -1.01825900e-02  1.00000000e+00]]",4,"[[ 1.12538390e-03 -6.46845710e-05 -2.57331035e-01]
 [-1.46523959e-04 -1.99351817e-03  1.81752017e+00]
 [-7.43970835e-05 -9.71411708e-06  1.02947905e+00]]","[[ 9.03095318e+02 -3.06669570e+01  2.79881622e+02]
 [-6.93541302e+00 -5.05743100e+02  8.91143524e+02]
 [ 6.51983024e-02 -6.98836936e-03  1.00000000e+00]]",4
46,3.2175837520000004,"[[ 8.79825894e-04 -5.87792317e-05 -1.05788791e-01]
 [-1.74311553e-04 -1.67782713e-03  1.60343144e+00]
 [-1.77077111e-04 -1.23881514e-05  1.04397591e+00]]","[[ 1.16502895e+03 -4.21642044e+01  1.82814961e+02]
 [ 6.85892680e+01 -6.05327674e+02  9.36666629e+02]
 [ 1.98423788e-01 -1.43348196e-02  1.00000000e+00]]",3,"[[ 1.15450329e-03 -8.45775107e-05 -2.43403638e-01]
 [-1.51857838e-04 -2.06592883e-03  1.87580356e+00]
 [-4.68379064e-05 -2.89730805e-05  1.03863998e+00]]","[[ 8.72159567e+02 -3.95742729e+01  2.75861107e+02]
 [-2.91359122e+01 -4.95300207e+02  8.87693644e+02]
 [ 3.85176499e-02 -1.56011219e-02  1.00000000e+00]]",4
52,3.513135752,"[[ 4.67634995e-03  4.31631190e-03 -7.07976082e+00]
 [-2.07231971e-04 -3.51077746e-03  2.98075932e+00]
 [ 2.51073275e-03  4.23251249e-03 -4.33978007e+00]]","[[-1.68773840e+02  7.23650450e+02  7.72367768e+02]
 [-4.24176181e+02  1.62270133e+02  8.03440281e+02]
 [-5.11333975e-01  5.76919384e-01  1.00000000e+00]]",1,"[[ 6.89505330e-03  6.01266109e-03 -1.04368783e+01]
 [-2.11038825e-04 -4.45162559e-03  3.65411146e+00]
 [ 4.19503717e-03  6.02656197e-03 -7.20056545e+00]]","[[-3.40947940e+02  6.66227375e+02  8.32282033e+02]
 [-4.69308344e+02  1.99324797e+02  7.81392677e+02]
 [-5.91426483e-01  5.54969171e-01  1.00000000e+00]]",4
53,3.5623947520000003,"[[ 1.01983815e-03 -7.69231920e-05 -2.67388583e-01]
 [-7.02307141e-05 -1.84980813e-03  1.51428768e+00]
 [-6.61879297e-05 -1.02972992e-04  1.10441206e+00]]","[[ 9.97416574e+02 -5.94578311e+01  3.23008123e+02]
 [ 1.19794026e+01 -5.85982023e+02  8.06355296e+02]
 [ 6.08925741e-02 -5.81990324e-02  1.00000000e+00]]",3,"[[ 1.12388242e-03 -3.87456801e-05 -3.81273835e-01]
 [-7.10998315e-05 -2.00369261e-03  1.60633002e+00]
 [-6.13374099e-05 -2.14067013e-05  1.03935936e+00]]","[[ 9.08412638e+02 -2.14809736e+01  3.66436784e+02]
 [ 1.09239269e+01 -5.07715769e+02  7.88682063e+02]
 [ 5.38346269e-02 -1.17246330e-02  1.00000000e+00]]",4
54,3.611653752,"[[ 1.00448764e-03 -7.84505367e-05 -2.67138790e-01]
 [-6.35224960e-05 -1.83318736e-03  1.48741632e+00]
 [-8.10887304e-05 -1.17885219e-04  1.12094004e+00]]","[[ 1.01795458e+03 -6.46827498e+01  3.28425535e+02]
 [ 2.67590231e+01 -5.98088180e+02  8.00002191e+02]
 [ 7.64529188e-02 -6.75779214e-02  1.00000000e+00]]",3,"[[ 1.11248065e-03 -3.42035694e-05 -3.85328606e-01]
 [-6.48848630e-05 -1.98097777e-03  1.57565322e+00]
 [-7.14849280e-05 -3.03129487e-05  1.05022447e+00]]","[[ 9.21437616e+02 -2.15781813e+01  3.70450330e+02]
 [ 2.01683627e+01 -5.17134874e+02  7.83257958e+02]
 [ 6.33010045e-02 -1.63949689e-02  1.00000000e+00]]",4
55,3.660912752,"[[ 1.02548620e-03 -7.77525340e-05 -2.78915909e-01]
 [-5.65437194e-05 -1.86650042e-03  1.49630822e+00]
 [-5.94250788e-05 -1.25287930e-04  1.11890821e+00]]","[[ 9.90881487e+02 -6.35626026e+01  3.32003871e+02]
 [ 1.33705737e+01 -5.89455237e+02  7.91607370e+02]
 [ 5.41227437e-02 -6.93790956e-02  1.00000000e+00]]",4,"[[ 1.12909294e-03 -3.48696379e-05 -3.93955773e-01]
 [-5.83444789e-05 -2.01323485e-03  1.58373589e+00]
 [-5.35110059e-05 -3.61927163e-05  1.04803322e+00]]","[[ 9.02184440e+02 -2.23293244e+01  3.72874175e+02]
 [ 1.03730332e+01 -5.10840575e+02  7.75856198e+02]
 [ 4.64224077e-02 -1.87814397e-02  1.00000000e+00]]",4
