world_index,marker_uid,corner_0_x,corner_0_y,corner_1_x,corner_1_y,corner_2_x,corner_2_y,corner_3_x,corner_3_y
0,apriltag_v3:tag36h11:21,359.15289306640636,734.5158691406251,397.7541198730469,733.1730957031249,392.1362304687499,690.8123168945314,353.22320556640625,691.655456542969
0,apriltag_v3:tag36h11:22,1085.3365478515627,265.9187316894531,1126.414306640625,266.5343933105469,1120.5568847656245,225.25520324707026,1080.5794677734375,222.26763916015625
0,apriltag_v3:tag36h11:23,1094.583740234375,681.76025390625,1134.3188476562502,679.6995239257815,1136.14697265625,636.2343139648439,1095.55810546875,638.5079956054688
1,apriltag_v3:tag36h11:21,352.565643310547,732.3239135742189,391.34918212890625,731.1461181640626,385.05050659179676,688.7470092773438,346.13671875,690.3059082031251
1,apriltag_v3:tag36h11:22,1080.22412109375,259.72979736328125,1121.575927734375,260.8672180175781,1115.607421875,219.71078491210938,1075.4605712890625,216.70736694335935
1,apriltag_v3:tag36h11:23,1089.9165039062502,676.6376342773439,1129.5982666015625,674.379638671875,1131.2398681640623,631.1106567382812,1090.734375,633.8189697265626
3,apriltag_v3:tag36h11:21,338.40277099609375,720.2095336914064,377.2353515625,717.9661865234375,370.4527587890625,675.9661865234373,330.7348022460938,678.3328857421875
4,apriltag_v3:tag36h11:21,328.35977172851557,715.3498535156249,366.49914550781244,713.4404296875,360.8703002929688,671.0665283203125,321.8905029296875,672.4536743164061
4,apriltag_v3:tag36h11:22,1060.5615234374998,226.205810546875,1102.4807128906252,227.13247680664065,1096.1444091796875,186.11663818359372,1055.8458251953123,183.1716766357422
5,apriltag_v3:tag36h11:21,329.6584777832031,724.2871704101562,368.47882080078125,723.0531005859374,361.7674255371093,679.5497436523436,322.17507934570307,681.5398559570312
5,apriltag_v3:tag36h11:23,1074.352294921875,667.5647583007812,1114.1075439453125,665.2136840820314,1115.7366943359375,623.4014282226562,1074.5509033203125,622.7739257812499
6,apriltag_v3:tag36h11:20,289.7821350097656,296.3035278320313,328.91729736328125,289.197296142578,329.70053100585943,245.87329101562494,290.7394104003907,252.94209289550787
7,apriltag_v3:tag36h11:21,337.7527770996094,711.5325317382812,377.3136291503906,709.4223022460938,370.63275146484375,665.7289428710935,330.4365844726563,668.3470458984375
7,apriltag_v3:tag36h11:22,1072.8395996093752,228.40209960937503,1114.48291015625,229.42578125,1108.6665039062498,188.32420349121094,1068.4794921874998,184.8940582275391
7,apriltag_v3:tag36h11:23,1084.9672851562498,650.4613647460938,1124.1339111328123,646.809326171875,1126.7677001953127,604.1030883789062,1085.262939453125,607.1143798828124
15,apriltag_v3:tag36h11:22,1092.7292480468748,378.0146484375,1133.3447265625,377.9678649902343,1126.706909179688,336.6335144042969,1087.4068603515625,335.6169738769531
15,apriltag_v3:tag36h11:23,1116.4606933593748,796.4865112304686,1155.9771728515625,791.1685180664065,1156.6647949218755,749.184326171875,1115.3177490234375,753.7272949218747
16,apriltag_v3:tag36h11:21,376.95233154296875,864.8490600585939,416.28286743164057,864.6978759765625,409.8352355957031,822.2669677734374,369.72119140624994,822.9395751953124
16,apriltag_v3:tag36h11:22,1093.029052734375,376.13693237304693,1133.845947265625,374.9045410156249,1126.53125,333.3471984863281,1087.2789306640623,333.12689208984386
16,apriltag_v3:tag36h11:23,1122.3530273437498,794.0095825195312,1161.901611328125,788.0394897460939,1162.6276855468752,746.0113525390624,1121.8493652343752,750.8323364257811
