cluster,centroid_x,centroid_y,n_fixations,sum_duration_s
0,0.800144743946609,0.21937386973203896,9,3.222743
1,0.4488061495401241,0.6280420099695524,3,1.101009
2,0.5785774139183498,0.40802582329929765,121,52.703857
3,0.2159684848241927,0.43673313758315846,8,3.072984
4,0.22467248111805582,0.22975317246068724,3,0.920749
5,0.8144444152712822,0.8220417418827612,2,0.375375
6,0.8013888668268919,0.7084440594539045,8,2.097006
7,0.4987693404157956,0.871100549896558,2,0.455385
8,0.4216813206672668,0.9360405299812554,2,0.505625
9,0.21584007328464871,0.8490922246039623,6,2.9626390000000002
10,0.32049989661613065,0.9085707439037113,2,0.82576
11,0.1624347008764743,0.7502759676426649,2,0.500508
12,0.2959616906633452,0.5687170069416364,5,2.462241
13,0.7237457774934315,0.28345592036133715,3,0.8407600000000001
14,0.8323231132085186,0.5128858439674583,3,2.026873
15,0.7978938479133013,0.9568616158130686,4,1.636637
16,0.38778822677476066,0.5823005310126713,2,0.6756259999999998
