cluster,centroid_x,centroid_y,n_fixations,sum_duration_s
0,0.6108905657249338,0.3008746728125741,5,1.496362
1,0.5916898646524974,0.3947046107479504,3,0.7906070000000001
2,0.5980975670473916,0.5495318859815598,2,0.7557450000000001
3,0.7995139004455672,0.8771165828737948,4,1.526376
4,0.769543644785881,0.9487055117264391,2,0.525612
5,0.41671350134743573,0.170540800359514,3,0.735629
6,0.28743604204306994,0.19920096402815107,4,5.169867
7,0.5142379874984423,0.2193053215742111,2,0.4905
8,0.3196467030261244,0.6839542574470951,5,1.306244
9,0.41079170256853104,0.8215097424884636,2,0.5255099999999999
10,0.5271430911289321,0.7076694042732319,4,1.12601
11,0.33166775343910093,0.4659940369545467,3,0.615629
12,0.23905212875158688,0.08426656260392058,3,1.57138
13,0.7732806950807571,0.3101274569829304,2,0.470383
14,0.6227290719747544,0.2254570111632347,2,0.83075
15,0.7957113944614926,0.44143910085161525,8,2.132127
16,0.44591183896575654,0.5472090874399458,2,0.735751
17,0.6643332039226186,0.5427800692753358,5,1.201267
