fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation detected on surface,fixation x [normalized],fixation y [normalized],start_s,end_s,cluster
378,1758907385526114560,1758907385666239488,140.125,1.0,0.624224990606308,0.4290952086448669,163.646708992,163.78683392,0
379,1758907385746244608,1758907385896364544,150.12,1.0,0.6339963972568512,0.4090680480003357,163.86683904,164.016958976,0
380,1758907385961496576,1758907386111614208,150.118,1.0,0.315482348203659,0.2261166969935099,164.082091008,164.23220864,1
381,1758907386136614400,1758907386622114560,485.5,1.0,0.2933621019124984,0.2758724868297577,164.257208832,164.742708992,1
382,1758907386677114112,1758907386902364416,225.25,1.0,0.4470030516386032,0.2810676197210948,164.797708544,165.022958848,2
383,1758907386942373376,1758907387117489408,175.116,1.0,0.573302435874939,0.3042010903358459,165.062967808,165.23808384,-1
384,1758907387162614528,1758907387392738560,230.124,1.0,0.6015197157859802,0.4960987031459808,165.28320896,165.513332992,3
385,1758907387442863616,1758907387577988608,135.125,1.0,0.4955609068274498,0.351333737373352,165.563458048,165.69858304,2
386,1758907387602988544,1758907387998363392,395.375,1.0,0.4600838489002651,0.3021921846601698,165.723582976,166.118957824,2
387,1758907388048364544,1758907388423743488,375.379,1.0,0.2246146015822887,0.3649607822299003,166.168958976,166.54433792,4
388,1758907388468738560,1758907388668988416,200.25,1.0,0.3758209943771362,0.407830023765564,166.589332992,166.789582848,5
389,1758907388698997504,1758907389099363584,400.366,1.0,0.3784279955757988,0.4889795051680671,166.819591936,167.219958016,5
390,1758907389119363840,1758907389234488576,115.125,1.0,0.4198952317237854,0.473401923974355,167.239958272,167.355083008,5
391,1758907389289488384,1758907389589862400,300.374,1.0,0.4844461977481842,0.7633127868175507,167.410082816,167.710456832,6
392,1758907389629862400,1758907389915112704,285.25,1.0,0.3844767766339438,0.6888016036578587,167.750456832,168.035707136,7
393,1758907389950112512,1758907390145362432,195.25,1.0,0.3053975462913513,0.6999615669250489,168.070706944,168.265956864,7
394,1758907390200362496,1758907390495612416,295.25,1.0,0.5856421164103917,0.7324421788964953,168.320956928,168.616206848,8
395,1758907390535737600,1758907391001112576,465.375,1.0,0.6464792164889249,0.7910378168929707,168.656332032,169.121707008,9
396,1758907391036112384,1758907391206372608,170.26,1.0,0.7006217241287231,0.8857202380895615,169.156706816,169.32696704,10
397,1758907391231363584,1758907391391487488,160.124,1.0,0.7358155131340027,0.9358221054077148,169.351958016,169.51208192,10
398,1758907391431487488,1758907391691737600,260.25,1.0,0.817781925201416,0.944830092468432,169.55208192,169.812332032,10
399,1758907391731862528,1758907392127111424,395.249,1.0,0.853551427523295,0.7423691418435838,169.85245696,170.247705856,11
400,1758907392342361600,1758907392532486400,190.125,1.0,0.824306583404541,0.7428644299507141,170.462956032,170.653080832,11
401,1758907392607611392,1758907392757737472,150.126,1.0,0.3323821201920509,0.8460682407021523,170.728205824,170.878331904,12
402,1758907392802736384,1758907393047986432,245.25,1.0,0.2152332390348116,0.8664081978301207,170.923330816,171.168580864,13
403,1758907393073111552,1758907393383361280,310.25,1.0,0.1711342760494777,0.8768830001354218,171.193705984,171.503955712,13
404,1758907393418361600,1758907393823736576,405.375,1.0,0.181545121802224,0.695692284239663,171.538956032,171.944331008,7
405,1758907393908861440,1758907394103986432,195.125,1.0,0.2410632640123367,0.1793856263160705,172.029455872,172.224580864,1
406,1758907394133991424,1758907394384235520,250.244,1.0,0.2066140249371528,0.1320482889811197,172.254585856,172.504829952,14
407,1758907394414236416,1758907394819610368,405.374,1.0,0.27747333712048,0.192462941010793,172.534830848,172.9402048,1
408,1758907394874735616,1758907395345110528,470.375,1.0,0.6062714999372308,0.1225914088162508,172.995330048,173.46570496,15
409,1758907395390235392,1758907395605360384,215.125,1.0,0.808018708229065,0.2022934794425964,173.510829824,173.725954816,-1
410,1758907395640485120,1758907396165860608,525.375,1.0,0.7675043096144994,0.2754298746585846,173.761079552,174.28645504,16
411,1758907396205985536,1758907396536235520,330.25,1.0,0.8518949151039124,0.3923100531101227,174.326579968,174.656829952,17
412,1758907396581360384,1758907396901609472,320.249,1.0,0.7774180918931961,0.3667977154254913,174.701954816,175.022203904,16
413,1758907396936609536,1758907397301984512,365.375,1.0,0.8104208111763,0.5350226196977828,175.057203968,175.422578944,18
414,1758907397326984448,1758907397542237440,215.253,1.0,0.845369835694631,0.4782650967439015,175.44757888,175.662831872,18
415,1758907397587235584,1758907397882484480,295.249,1.0,0.6749296528952462,0.5178558698722294,175.707830016,176.003078912,3
416,1758907397922484480,1758907398217859584,295.375,1.0,0.5824521780014038,0.4681601524353027,176.043078912,176.338454016,3
417,1758907398267859712,1758907398548109568,280.25,1.0,0.3390764494736989,0.4803064862887065,176.388454144,176.668704,5
418,1758907398598109440,1758907398898484480,300.375,1.0,0.1927656506498654,0.3761661946773529,176.718703872,177.019078912,4
419,1758907398928484608,1758907399528983552,600.499,1.0,0.1757801289741809,0.2565043843709506,177.04907904,177.649577984,19
420,1758907399574108416,1758907400009483520,435.375,1.0,0.289472883939743,0.2190774261951446,177.694702848,178.130077952,1
421,1758907400039483648,1758907400539983616,500.5,1.0,0.3455757715485312,0.2772686373103749,178.16007808,178.660578048,5
422,1758907400584983552,1758907400810237184,225.254,1.0,0.1952354113260904,0.374506413936615,178.705577984,178.930831616,4
423,1758907400845233408,1758907401300733440,455.5,1.0,0.2634209871292114,0.5326755344867706,178.96582784,179.421327872,-1
424,1758907401335733504,1758907401605983488,270.25,1.0,0.1817240044474601,0.5761454105377197,179.456327936,179.72657792,20
425,1758907401635982592,1758907401746107392,110.125,1.0,0.1767922242482503,0.6861505806446075,179.756577024,179.866701824,7
426,1758907401881232384,1758907402441732864,560.5,1.0,0.1787994429469108,0.6819914132356644,180.001826816,180.562327296,7
427,1758907402476732416,1758907402787107584,310.375,1.0,0.2905296385288238,0.6925856002739498,180.597326848,180.907702016,7
428,1758907402812107520,1758907403092357376,280.25,1.0,0.3200834890206654,0.6661789615948995,180.932701952,181.212951808,7
429,1758907403132357376,1758907403467732480,335.375,1.0,0.4237431101500988,0.7169811390340328,181.252951808,181.588326912,7
430,1758907403512732416,1758907404033232384,520.5,1.0,0.5284233689308167,0.7187539994716644,181.633326848,182.153826816,8
431,1758907404068232448,1758907404303481600,235.249,1.0,0.5521550476551056,0.7102587223052979,182.18882688,182.424076032,8
432,1758907404348481536,1758907404603731456,255.25,1.0,0.6957736015319824,0.7942609749734402,182.469075968,182.724325888,9
433,1758907404628731392,1758907404878981376,250.25,1.0,0.7664650976657867,0.8799063973128796,182.749325824,182.999575808,10
434,1758907404903981568,1758907405104231424,200.25,1.0,0.7880481719970703,0.9249802127480506,183.024576,183.224825856,10
435,1758907405144231424,1758907405494606592,350.375,1.0,0.8305464684963226,0.7050810046494007,183.264825856,183.615201024,11
436,1758907405529606400,1758907405759856384,230.25,1.0,0.8339925408363342,0.617168128490448,183.650200832,183.880450816,-1
437,1758907405794860544,1758907406195231488,400.371,1.0,0.8413972324795194,0.4921649330192142,183.915454976,184.31582592,18
438,1758907406235231488,1758907406465480448,230.249,1.0,0.8555383185545603,0.3710342347621918,184.35582592,184.58607488,17
439,1758907406500484608,1758907406690610432,190.126,1.0,0.7711179375648498,0.3821384191513061,184.62107904,184.811204864,16
440,1758907406725730560,1758907407291230464,565.5,1.0,0.7748840202887853,0.2962559511264165,184.846324992,185.411824896,16
441,1758907407321230592,1758907407731605504,410.375,1.0,0.75030208296246,0.2823175456788804,185.441825024,185.852199936,16
442,1758907407771617536,1758907407951855616,180.238,1.0,0.7044341921806335,0.1671918749809265,185.892211968,186.072450048,-1
443,1758907407986863616,1758907408332229376,345.366,1.0,0.6439398154616356,0.2396022826433181,186.107458048,186.452823808,21
444,1758907408367229440,1758907408557355520,190.126,1.0,0.594953429698944,0.0883519053459167,186.487823872,186.677949952,15
445,1758907408607479552,1758907409062858496,455.379,1.0,0.4159833282232285,0.1861703932285308,186.728073984,187.183452928,22
446,1758907409097854464,1758907409433233408,335.379,1.0,0.479446779936552,0.2643856257200241,187.218448896,187.55382784,2
447,1758907409463229440,1758907409563363584,100.134,1.0,0.4466589093208313,0.2951333522796631,187.583823872,187.683958016,2
448,1758907409688479488,1758907409778491392,90.012,1.0,0.457052081823349,0.3259249925613403,187.80907392,187.899085824,2
449,1758907409848604416,1758907410283979520,435.375,1.0,0.797911536693573,0.8744217522442341,187.969198848,188.404573952,10
450,1758907410323979520,1758907410709354496,385.375,1.0,0.8362716370158725,0.7599772115548452,188.444573952,188.829948928,11
451,1758907410764479488,1758907411114728448,350.249,1.0,0.6077727675437927,0.8751952946186066,188.88507392,189.23532288,23
452,1758907411139853568,1758907411415103488,275.25,0.8,0.6458155035972595,0.8609782248735428,189.260448,189.53569792,23
453,1758907411470104576,1758907411635228416,165.124,1.0,0.3741687387228012,0.8600620329380035,189.590699008,189.755822848,12
454,1758907411670228480,1758907411800353536,130.125,1.0,0.4465403407812118,0.8512280881404877,189.790822912,189.920947968,24
455,1758907411840478464,1758907412080603392,240.125,1.0,0.3156156142552693,0.8884939899047216,189.961072896,190.201197824,12
456,1758907412095728384,1758907412220853504,125.125,1.0,0.4446134865283966,0.8916352316737175,190.216322816,190.341447936,24
457,1758907412260853504,1758907412796352512,535.499,1.0,0.1902222335338592,0.8716043587774038,190.381447936,190.916946944,13
458,1758907412831353600,1758907413141609216,310.256,1.0,0.1749592700174876,0.7061981814248222,190.951948032,191.262203648,7
459,1758907413181728512,1758907413491977472,310.249,1.0,0.1868200365986143,0.8549450295312064,191.302322944,191.612571904,13
460,1758907413526977536,1758907413987477504,460.5,1.0,0.2109734565019607,0.6853687584400177,191.647571968,192.108071936,7
461,1758907414017477376,1758907414227602432,210.125,1.0,0.1922677218914032,0.7955527395009995,192.138071808,192.348196864,12
462,1758907414257734400,1758907414422852608,165.118,1.0,0.3480488806962967,0.7610274367034435,192.378328832,192.54344704,-1
463,1758907414442852608,1758907414753102592,310.25,1.0,0.2665311140673501,0.6876731131758008,192.56344704,192.873697024,7
464,1758907414813227520,1758907415023352576,210.125,1.0,0.487356162071228,0.7746259659528733,192.933821952,193.143947008,6
465,1758907415048477696,1758907415553852416,505.375,1.0,0.5451606999744069,0.756735316731713,193.169072128,193.674446848,8
466,1758907415593982720,1758907415839101696,245.119,1.0,0.6181892255942026,0.8374449561039606,193.714577152,193.959696128,23
467,1758907415874226432,1758907416069359616,195.133,1.0,0.5483234643936157,0.8738302305340767,193.994820864,194.189954048,23
468,1758907416099351552,1758907416239479552,140.128,1.0,0.6062740534543991,0.9422771194949746,194.219945984,194.360073984,25
469,1758907416279607552,1758907416664859392,385.252,1.0,0.7714274128278097,0.9495528547300232,194.400201984,194.785453824,10
470,1758907416704976384,1758907416885101568,180.125,1.0,0.7141175270080566,0.8675620071589947,194.825570816,195.005696,10
471,1758907416930110208,1758907417230476544,300.366,1.0,0.6383309704916817,0.581132995230811,195.05070464,195.351070976,3
472,1758907417250476800,1758907417350601472,100.125,1.0,0.6290704607963562,0.5307154357433319,195.371071232,195.471195904,3
473,1758907417470605568,1758907417901103616,430.49799999999993,1.0,0.5207775294780731,0.4490941643714904,195.5912,196.021698048,3
