recording_id,participant_id,level_name,window_s,total_search_time_s,label_found_waldo,level_median_search_s,label_long_search
2025-09-26_16-24-13-61db42a9,61db42a9,waldo_3,10.0,60.785,1,28.102000000000007,1
2025-09-26_16-24-13-61db42a9,61db42a9,waldo_4,10.0,35.35999999999999,1,11.822000000000003,1
2025-09-26_16-45-00-95032692,95032692,waldo_1,10.0,98.074,1,96.9905,1
2025-09-26_16-45-00-95032692,95032692,waldo_2,10.0,10.638999999999996,1,7.363999999999997,1
2025-09-26_19-01-53-2ec86210,2ec86210,waldo_1,10.0,311.217,1,96.9905,1
2025-09-26_19-01-53-2ec86210,2ec86210,waldo_2,10.0,11.329999999999984,0,7.363999999999997,1
2025-09-26_19-01-53-2ec86210,2ec86210,waldo_3,10.0,90.04500000000002,0,28.102000000000007,1
2025-09-26_19-01-53-2ec86210,2ec86210,waldo_4,10.0,27.88100000000003,1,11.822000000000003,1
2025-09-26_19-10-19-05411873,05411873,waldo_1,10.0,79.06,1,96.9905,0
2025-09-26_19-10-19-05411873,05411873,waldo_2,10.0,3.891999999999996,1,7.363999999999997,0
2025-09-26_19-10-19-05411873,05411873,waldo_3,10.0,3.792999999999992,0,28.102000000000007,0
2025-09-26_19-10-19-05411873,05411873,waldo_4,10.0,15.960000000000008,0,11.822000000000003,1
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_1,10.0,128.20499999999998,1,96.9905,1
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_2,10.0,1.5769999999999982,1,7.363999999999997,0
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_3,10.0,45.269000000000005,1,28.102000000000007,1
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_4,10.0,1.429000000000002,1,11.822000000000003,0
2025-09-26_19-17-52-c0419fea,c0419fea,waldo_1,10.0,17.733,1,96.9905,0
2025-09-26_19-17-52-c0419fea,c0419fea,waldo_2,10.0,17.142000000000003,1,7.363999999999997,1
2025-09-26_19-17-52-c0419fea,c0419fea,waldo_3,10.0,23.496000000000002,1,28.102000000000007,0
2025-09-26_19-17-52-c0419fea,c0419fea,waldo_4,10.0,2.710000000000008,1,11.822000000000003,0
2025-09-26_19-27-31-2699d4a1,2699d4a1,waldo_1,10.0,60.736,1,96.9905,0
2025-09-26_19-27-31-2699d4a1,2699d4a1,waldo_2,10.0,13.595000000000006,1,7.363999999999997,1
2025-09-26_19-27-31-2699d4a1,2699d4a1,waldo_3,10.0,16.305000000000007,1,28.102000000000007,0
2025-09-26_19-27-31-2699d4a1,2699d4a1,waldo_4,10.0,7.6839999999999975,1,11.822000000000003,0
2025-09-26_19-29-58-b4f7a1df,b4f7a1df,waldo_1,10.0,114.921,1,96.9905,1
2025-09-26_19-29-58-b4f7a1df,b4f7a1df,waldo_2,10.0,3.3499999999999943,1,7.363999999999997,0
2025-09-26_19-29-58-b4f7a1df,b4f7a1df,waldo_3,10.0,6.1580000000000155,0,28.102000000000007,0
2025-09-26_19-29-58-b4f7a1df,b4f7a1df,waldo_4,10.0,2.3649999999999807,0,11.822000000000003,0
2025-09-26_19-37-31-91230d39,91230d39,waldo_1,10.0,33.24900000000001,1,96.9905,0
2025-09-26_19-37-31-91230d39,91230d39,waldo_2,10.0,2.118000000000009,1,7.363999999999997,0
2025-09-26_19-37-31-91230d39,91230d39,waldo_3,10.0,6.600999999999999,1,28.102000000000007,0
2025-09-26_19-37-31-91230d39,91230d39,waldo_4,10.0,3.2510000000000048,1,11.822000000000003,0
2025-09-26_19-39-21-36589e44,36589e44,waldo_1,10.0,143.491,1,96.9905,1
2025-09-26_19-39-21-36589e44,36589e44,waldo_2,10.0,33.792,1,7.363999999999997,1
2025-09-26_19-39-21-36589e44,36589e44,waldo_3,10.0,156.248,1,28.102000000000007,1
2025-09-26_19-39-21-36589e44,36589e44,waldo_4,10.0,91.03000000000003,1,11.822000000000003,1
2025-09-26_20-20-21-410567f0,410567f0,waldo_1,10.0,95.90700000000001,1,96.9905,0
2025-09-26_20-20-21-410567f0,410567f0,waldo_2,10.0,4.088999999999999,0,7.363999999999997,0
2025-09-26_20-20-21-410567f0,410567f0,waldo_3,10.0,32.70800000000001,0,28.102000000000007,1
2025-09-26_20-20-21-410567f0,410567f0,waldo_4,10.0,91.86699999999999,0,11.822000000000003,1
