fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation detected on surface,fixation x [normalized],fixation y [normalized]
1,1758904651862477824,1758904652237727744,375.25,1.0,0.6313972473144531,0.7520759552717209
2,1758904652467977728,1758904652543102720,75.125,1.0,0.4738384187221527,0.73137366771698
3,1758904652673227776,1758904652948479744,275.252,0.5,0.7406342625617981,0.9831779897212982
4,1758904653008477696,1758904653178608640,170.131,1.0,0.4353509396314621,0.5339218825101852
5,1758904653358852864,1758904653518977792,160.125,1.0,0.5426534414291382,0.3291066288948059
10,1758904654539976704,1758904654664977664,125.00099999999999,1.0,0.8194236755371094,0.1077871322631836
12,1758904654915230464,1758904655555851776,640.621,0.9285714285714286,0.9562623053789139,1.054087866629873
13,1758904655630980864,1758904656411601664,780.621,1.0,0.6756566337176731,0.4782149536269052
15,1758904656791986944,1758904657037226752,245.23999999999998,1.0,0.16909674803415933,0.11857698361078899
16,1758904657077226752,1758904657327489792,250.26299999999998,0.7142857142857143,0.04353314744574683,0.026739954948425293
17,1758904657412601856,1758904657877975808,465.37399999999997,1.0,0.3816512644290924,0.8410847902297973
18,1758904657928105728,1758904658073226752,145.12099999999998,1.0,0.36720266193151474,0.617774710059166
19,1758904658108226816,1758904658358475776,250.249,1.0,0.3968063195546468,0.5321575949589411
20,1758904658423475712,1758904658598725632,175.25,1.0,0.21873942017555237,0.22568432986736298
21,1758904658653730816,1758904658918975744,265.245,1.0,0.4646884575486183,0.3099353015422821
22,1758904658973975808,1758904659064100864,90.125,1.0,0.693344235420227,0.2314785122871399
23,1758904659129233664,1758904659639600640,510.36699999999996,1.0,0.3597272261977196,0.5958523601293564
24,1758904659694725632,1758904659964985856,270.26,1.0,0.521446943283081,0.879495844244957
25,1758904659989975808,1758904660140101632,150.126,1.0,0.5249984413385391,0.9240459110587835
26,1758904660200225792,1758904660435350784,235.125,1.0,0.4787765294313431,0.5848951091368993
27,1758904660490475776,1758904660730601728,240.12599999999998,1.0,0.6288413802782694,0.3864542643229167
