fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation detected on surface,fixation x [normalized],fixation y [normalized]
1,1758904198836928512,1758904199062053632,225.125,1.0,0.22862938046455383,0.5568091869354248
2,1758904199102178560,1758904199522554624,420.376,1.0,0.183903768658638,0.6623278260231018
3,1758904199677685760,1758904199887809536,210.124,0.0,-1.0124937295913696,-0.4368729591369629
4,1758904199937928704,1758904200063053568,125.125,0.0,-0.592811107635498,-0.5292279720306396
5,1758904200103053568,1758904200283178752,180.125,0.0,-0.7333952784538269,-0.0937148928642273
6,1758904200358303744,1758904200828678912,470.375,1.0,0.021095033424595993,0.3823658525943756
7,1758904200908803584,1758904201053928704,145.125,0.0,-0.5907031297683716,0.6561293005943298
8,1758904201099053824,1758904201199062272,100.009,0.0,-0.7572766542434692,0.4429365396499634
9,1758904201339185664,1758904201929803520,590.6179999999999,1.0,0.4550052508711815,0.4891975373029709
10,1758904201964805632,1758904202225053696,260.248,1.0,0.527549433708191,0.37207443714141847
11,1758904202265053696,1758904202695428608,430.375,1.0,0.46137545704841615,0.47980260848999023
12,1758904202750552576,1758904203125927680,375.375,1.0,0.6139011051919725,0.25619951221677995
13,1758904203235928832,1758904203471177728,235.249,1.0,0.2591533362865448,0.3122745255629222
14,1758904203556302592,1758904203651302656,95.0,0.0,0.6628553569316864,1.1235455460846424
15,1758904203711432704,1758904204206927616,495.49500000000006,0.0,0.8282457987467448,1.765912155310313
16,1758904204311941632,1758904204522185728,210.244,1.0,0.5195931911468505,0.46464202404022215
17,1758904204552177664,1758904206463927552,1911.75,1.0,0.47494732290506364,0.24266235530376434
18,1758904206519052544,1758904207329802752,810.75,1.0,0.4488541676717646,0.5880886929876664
19,1758904207344802560,1758904208005426688,660.624,1.0,0.461910484234492,0.5455799678961436
20,1758904208095436544,1758904208640935680,545.499,0.9166666666666666,0.396647314230601,0.19311143457889557
21,1758904208691051520,1758904209201563904,510.51199999999994,1.0,0.4470984095876867,0.575297247279774
22,1758904209872176640,1758904210192426752,320.25,1.0,0.43705821888787405,0.459450900554657
23,1758904210212426752,1758904210983176704,770.75,1.0,0.4529040791094303,0.3912799246609211
24,1758904211023180544,1758904211368551680,345.371,1.0,0.5327691175043583,0.4897361397743225
25,1758904211403551744,1758904212124176640,720.625,1.0,0.49949050347010293,0.351018226146698
26,1758904212149176576,1758904212584676608,435.5,1.0,0.4883949786424637,0.4537614226341248
27,1758904212629676800,1758904212879926016,250.249,1.0,0.3160402526458104,0.43212533990542096
28,1758904212924926720,1758904213140175616,215.24899999999997,1.0,0.478501957654953,0.4359121799468994
29,1758904213245300736,1758904213905817600,660.5169999999999,1.0,0.6941622018814086,0.4011379142602285
30,1758904213960925696,1758904214251175680,290.25,1.0,0.4712740566049303,0.5431764083249229
31,1758904214281175552,1758904214541426688,260.251,1.0,0.5176485436303275,0.4615310856274196
32,1758904214596550656,1758904214771683584,175.13299999999998,1.0,0.2440127283334732,0.43892890214920044
33,1758904214801675520,1758904214981800704,180.125,1.0,0.2891708314418793,0.4111766964197159
34,1758904215021925632,1758904215137059584,115.134,1.0,0.4245428591966629,0.43958431482315063
35,1758904215192050688,1758904215377175552,185.125,1.0,0.20388761535286903,0.16440504789352417
36,1758904215427310592,1758904215677550592,250.23999999999998,1.0,0.42307403186957043,0.44623685876528424
37,1758904215712550656,1758904215957800704,245.25,1.0,0.4949022928873698,0.5179226448138555
38,1758904216002800640,1758904216318057728,315.257,1.0,0.4563054069876671,0.2605036050081253
39,1758904216378186752,1758904216633428736,255.242,1.0,0.4006032298008601,0.8751049265265465
40,1758904216678425600,1758904217038800640,360.375,1.0,0.22586160339415073,0.892909187823534
41,1758904217073801984,1758904217334050560,260.24899999999997,1.0,0.20514841874440512,0.7998218983411789
42,1758904217389050624,1758904217649311744,260.26099999999997,1.0,0.4238807133265904,0.9154143120561328
43,1758904217679300608,1758904217859550720,180.25,1.0,0.47491499185562136,0.9104485720396042
44,1758904217899550720,1758904218149800704,250.25,1.0,0.5077346980571746,0.883756798505783
45,1758904218194799616,1758904218405049600,210.25,1.0,0.7328906655311584,0.9370277896523476
46,1758904218425049600,1758904218835426560,410.37700000000007,1.0,0.7663864135742188,0.90595313757658
47,1758904218865424640,1758904219090674688,225.25,1.0,0.762699176867803,0.7522288238008817
48,1758904219115674624,1758904219435924736,320.25,1.0,0.7997967898845673,0.7030774988234043
49,1758904219471049728,1758904219636174592,165.125,1.0,0.7805100083351135,0.5187138617038727
50,1758904219681174784,1758904219971424512,290.25,1.0,0.6155427353722709,0.5394476141248431
51,1758904220011549952,1758904220381801728,370.252,1.0,0.5602346062660217,0.7543448507785797
52,1758904220416924672,1758904220822299648,405.375,1.0,0.4439022441705068,0.6851470768451691
53,1758904220857299712,1758904221167549696,310.25,1.0,0.3288516029715538,0.6423875913023949
54,1758904221212674560,1758904221567924736,355.25,1.0,0.2039296254515648,0.5673545598983765
55,1758904221603049728,1758904221888299776,285.25,1.0,0.15269911785920462,0.3983011841773987
56,1758904221918299648,1758904222308680704,390.381,1.0,0.19834088906645775,0.3450346291065216
57,1758904222348676352,1758904222914186496,565.51,1.0,0.3208615370094776,0.3189784685770671
58,1758904222949299456,1758904223234548736,285.24899999999997,1.0,0.41740502913792926,0.3278339405854543
59,1758904223264552704,1758904223464678656,200.126,1.0,0.5375384390354156,0.33960357308387756
60,1758904223499802624,1758904223865048576,365.246,1.0,0.42727598879072404,0.4408187468846639
61,1758904223900186624,1758904224130298624,230.112,1.0,0.3404693126678467,0.5614480912685395
62,1758904224160304384,1758904224435673856,275.36899999999997,1.0,0.41134897867838544,0.5600284735361735
63,1758904224505673728,1758904224715923712,210.25,1.0,0.6418124198913574,0.2103644847869873
64,1758904224745923584,1758904224966048512,220.125,1.0,0.6932528018951416,0.15663113594055175
65,1758904225011173632,1758904225486548736,475.375,1.0,0.5432420156218789,0.19381970167160034
66,1758904225541673728,1758904225841923584,300.25,1.0,0.31227415800094604,0.21232754843575613
67,1758904225881923584,1758904226267300608,385.377,1.0,0.17123007526000342,0.15597041447957358
68,1758904226302298624,1758904226742798592,440.5,1.0,0.17926668971776963,0.28660488724708555
69,1758904226832798720,1758904227183172608,350.37399999999997,1.0,0.3188079297542572,0.36353107541799545
70,1758904227208173568,1758904227463423744,255.25,1.0,0.372800812125206,0.44312556584676105
71,1758904227503423744,1758904227753672704,250.249,1.0,0.45754534006118774,0.4999479452768962
72,1758904227773672704,1758904228159054592,385.382,1.0,0.5037597666184107,0.5117931663990021
73,1758904228184053760,1758904228569422592,385.36899999999997,1.0,0.5500408411026001,0.5659980210993025
74,1758904228614547712,1758904228939797504,325.25,1.0,0.4346880540251732,0.6210871897637844
75,1758904228974805504,1758904229475297536,500.492,1.0,0.3667688578367233,0.5781316518783569
76,1758904229550297856,1758904230075797504,525.5,1.0,0.8126554489135742,0.4684018890062968
77,1758904230115930624,1758904230511301632,395.371,1.0,0.6865012182129754,0.490121324857076
78,1758904230531297536,1758904230806547712,275.25,1.0,0.687509434563773,0.41992970023836407
79,1758904230846547712,1758904231517172992,670.625,1.0,0.6132388242653438,0.46676516958645414
80,1758904231562172672,1758904231902551552,340.37899999999996,1.0,0.5359562486410141,0.4211559295654297
81,1758904231932551680,1758904232107671552,175.12,1.0,0.4462376534938812,0.4590672254562378
82,1758904232147797504,1758904232332921600,185.124,1.0,0.5083149909973145,0.26081162691116333
83,1758904232377921536,1758904233033546496,655.625,1.0,0.724869293825967,0.16853408302579606
84,1758904233073681664,1758904233569050624,495.36899999999997,1.0,0.572843525144789,0.17281407117843628
87,1758904234139551744,1758904234449925632,310.37399999999997,1.0,0.15711892396211624,0.23061633110046387
88,1758904234469921536,1758904234840296704,370.375,1.0,0.1645577351252238,0.28333868583043414
89,1758904234865296640,1758904235115546624,250.25,1.0,0.15807352711757025,0.34746066729227704
90,1758904235155546624,1758904235595921664,440.375,1.0,0.2627855345606804,0.342417049407959
91,1758904235636046592,1758904235876171520,240.125,1.0,0.38529474288225174,0.3530810624361038
92,1758904235916296960,1758904237257545728,1341.249,1.0,0.5286368429660797,0.3321628620227178
93,1758904237297545728,1758904237552795648,255.25,1.0,0.6881982326507569,0.3379894971847534
95,1758904237893045760,1758904238153295616,260.25,1.0,0.7990568578243256,0.29105164110660553
96,1758904238183420672,1758904238543670528,360.25,1.0,0.7168930504057143,0.27275415923860336
97,1758904238588795648,1758904239309420288,720.625,1.0,0.7870965878168742,0.408857262134552
98,1758904239349420544,1758904239759795712,410.375,1.0,0.7050685948795743,0.4022314151128133
99,1758904239779795712,1758904240010045696,230.25,1.0,0.6770613094170889,0.4670523703098297
100,1758904240055044864,1758904240295294720,240.25,1.0,0.5875688791275024,0.46509918570518494
101,1758904240320294656,1758904241086044672,765.75,1.0,0.5781485922634602,0.39072245359420776
102,1758904241126044672,1758904241446419712,320.375,1.0,0.5060212463140488,0.4019665867090225
103,1758904241471429632,1758904241621544704,150.11499999999998,1.0,0.48791874945163727,0.44839803874492645
104,1758904241651544832,1758904241891803904,240.259,1.0,0.4184382160504659,0.46156299610932666
105,1758904241926794496,1758904242247169280,320.375,1.0,0.3700137734413147,0.39054526885350543
106,1758904242272181504,1758904242672544512,400.363,1.0,0.28400029242038727,0.36180071036020917
107,1758904242707544832,1758904243218044672,510.5,1.0,0.2066266362865766,0.39402616024017334
108,1758904243248051456,1758904243768544512,520.4929999999999,1.0,0.17702159161369005,0.5054960598548254
109,1758904243798543616,1758904244213922560,415.379,1.0,0.18923383206129074,0.5902461886405945
110,1758904244238918656,1758904244459168512,220.25,1.0,0.15948108583688736,0.635402595003446
111,1758904244489177856,1758904244749418752,260.241,1.0,0.16213035335143408,0.7286896506945292
112,1758904244784428544,1758904245139793664,355.365,1.0,0.16787950528992546,0.842701256275177
113,1758904245159799552,1758904245319918592,160.119,1.0,0.18588712811470032,0.8896164428442717
114,1758904245335043328,1758904245460043520,125.0,1.0,0.16955253978570303,0.8518147865931193
115,1758904245500168704,1758904246340918528,840.75,1.0,0.3114882435868768,0.8786731038023444
116,1758904246375918336,1758904246696293632,320.375,1.0,0.36991881472723825,0.9044543451496533
117,1758904246726293504,1758904246966543616,240.25,1.0,0.4205865015586217,0.8931312250594298
118,1758904246996543744,1758904247246793728,250.25,0.75,0.4755578190088272,0.9226911715231836
119,1758904247276793600,1758904247557043456,280.25,1.0,0.5235926061868668,0.8423589679102103
120,1758904247582043648,1758904247927422720,345.37899999999996,1.0,0.5533609911799431,0.8236733954399824
121,1758904247962418688,1758904248307792640,345.37399999999997,1.0,0.5996514484286308,0.9094017148017883
122,1758904248362792704,1758904248653042944,290.25,1.0,0.7633591209139142,0.8946371855480331
123,1758904248678042624,1758904249158542592,480.5,1.0,0.8103308618068695,0.9270766735076904
124,1758904249183544576,1758904249724042496,540.4979999999999,1.0,0.8307275623083115,0.8405218757688999
125,1758904249744042752,1758904249984292608,240.25,1.0,0.8310323655605316,0.7512132426102957
126,1758904250024292608,1758904250284542720,260.25,1.0,0.682168573141098,0.786918006837368
127,1758904250339667712,1758904250604918016,265.25,1.0,0.5386609520230975,0.7602208427020481
128,1758904250634917632,1758904250850042624,215.125,1.0,0.48344067732493085,0.7311900407075882
129,1758904250880167680,1758904251350546688,470.37899999999996,1.0,0.4548068073662845,0.6483221243728291
130,1758904251375542528,1758904251826042624,450.5,1.0,0.46825350522994996,0.5802143067121506
131,1758904251856041728,1758904252211417600,355.376,1.0,0.46300605684518814,0.5096793808043003
132,1758904252246416640,1758904252681791744,435.375,1.0,0.5431361675262452,0.6181293606758118
133,1758904252726791680,1758904253477541632,750.75,1.0,0.41293010488152504,0.5451599657535553
134,1758904253532550656,1758904253712794624,180.244,1.0,0.42042326331138613,0.5093736946582794
135,1758904253727800576,1758904253932916736,205.11599999999999,1.0,0.39547341465950014,0.5547445237636566
136,1758904253952916736,1758904254273291520,320.375,1.0,0.4095693358353206,0.602573322398322
137,1758904254298291712,1758904255709540608,1411.249,1.0,0.352594956241805,0.5882896811797701
138,1758904255739680000,1758904257055790592,1316.1109999999996,1.0,0.29758911579847336,0.4834230808275087
139,1758904257085921536,1758904257621415680,535.494,1.0,0.2813456306854884,0.3301807592312495
140,1758904257661415680,1758904258136796928,475.381,1.0,0.3441451815041629,0.26757457039572974
141,1758904258186915584,1758904258472165632,285.25,1.0,0.2149681399265925,0.23934268951416016
142,1758904258492166656,1758904258677416704,185.25,1.0,0.17830784916877745,0.2200307846069336
143,1758904258712414720,1758904258977665536,265.251,1.0,0.24097747675010137,0.16521261419568742
144,1758904259022665728,1758904259383039744,360.37399999999997,1.0,0.16021379083395004,0.284380778670311
145,1758904259458039552,1758904259828414720,370.375,1.0,0.4213089346885681,0.1328555941581726
146,1758904259863414528,1758904260103664640,240.25,1.0,0.5695677498976389,0.17324179410934448
147,1758904260138664704,1758904260554039552,415.375,1.0,0.6255775094032288,0.08589563369750977
148,1758904260589164544,1758904260829294592,240.13,1.0,0.6319017211596171,0.16130106647809347
149,1758904260859414528,1758904261269789696,410.375,1.0,0.6921974817911783,0.16508404413859049
150,1758904261299802624,1758904261745164544,445.36199999999997,1.0,0.6866478145122528,0.2441784143447876
151,1758904261780289536,1758904262165539584,385.25,1.0,0.7375496253371239,0.283187635242939
152,1758904262200664832,1758904262455913728,255.249,1.0,0.8063120742638906,0.3061119119326274
153,1758904262490914560,1758904263031418624,540.504,1.0,0.7925901909669241,0.389383926987648
154,1758904263066414592,1758904263376663808,310.24899999999997,1.0,0.722555765083858,0.43659485237939016
155,1758904263401795584,1758904263611913472,210.11800000000002,1.0,0.6943128307660421,0.4501460790634155
156,1758904263656918272,1758904264132413696,475.49500000000006,1.0,0.7932488520940145,0.516167402267456
157,1758904264202418688,1758904264377663744,175.245,1.0,0.8083159774541855,0.44817130267620087
158,1758904264407667712,1758904264933163776,525.496,1.0,0.8310791949431101,0.5116689279675484
159,1758904264983167744,1758904265223413760,240.246,1.0,0.6780428647994995,0.5669207572937012
160,1758904265243413504,1758904265518663680,275.25,1.0,0.7159972886244456,0.5825721869866053
161,1758904265548663552,1758904265718913536,170.25,1.0,0.714410200715065,0.6564564928412437
162,1758904265758913536,1758904266124288512,365.375,1.0,0.804919507768419,0.6549544466866387
163,1758904266159287552,1758904266764787712,605.5,1.0,0.7877185642719269,0.8794630984110492
164,1758904266899912704,1758904267065162752,165.25,1.0,0.7985521554946899,0.5409583866596221
165,1758904267125174528,1758904267565547520,440.373,1.0,0.6145614385604858,0.46236998836199444
166,1758904267605662720,1758904268156162560,550.5,1.0,0.5209966003894806,0.4097807076242235
167,1758904268196168704,1758904268696662528,500.49399999999997,1.0,0.40644340589642525,0.4413108378648758
168,1758904268731662592,1758904268921791744,190.129,1.0,0.34269622564315794,0.4897146224975586
169,1758904268951912704,1758904269157037568,205.125,1.0,0.3276953399181366,0.4272648453712463
170,1758904269182037504,1758904269402287616,220.25,1.0,0.3379161596298218,0.4669663906097412
171,1758904269442287616,1758904269742674688,300.387,1.0,0.25048201211861204,0.47794198989868164
172,1758904269782661632,1758904270208036608,425.375,1.0,0.1881581500172615,0.40895664095878603
173,1758904270238036736,1758904270573412608,335.376,1.0,0.23928019031882286,0.3468766435980797
174,1758904270608411648,1758904270878661632,270.25,1.0,0.3059537609418233,0.3580569426218669
175,1758904270923661568,1758904271379161600,455.5,1.0,0.42328168749809264,0.35087664127349855
176,1758904271414161664,1758904271644411648,230.25,1.0,0.4156183252731959,0.38737334807713825
177,1758904271689411584,1758904272119786752,430.375,1.0,0.4701915442943573,0.35821627378463744
179,1758904272450161664,1758904272765411584,315.25,1.0,0.6252481788396835,0.44892055292924243
