cluster,centroid_x,centroid_y,n_fixations,sum_duration_s
0,0.4377130765467882,0.32189921513199804,4,0.6757500000000001
1,0.6174639913819158,0.3158831051552918,49,11.896172
2,0.5093111615805399,0.2629552793408197,3,0.685755
3,0.4710725233132963,0.1468770101189097,5,3.2829999999999995
4,0.5068783575580234,0.4961680138394946,2,0.5405139999999999
5,0.33273856341838837,0.1483899354934692,3,0.465624
6,0.7125653837124506,0.15351681172847748,5,1.070991
7,0.6640845362097025,0.5234264576497177,8,1.941866
8,0.3130935840308666,0.4971431903541088,2,0.390375
9,0.7844350935353173,0.5852964932057592,5,1.221123
10,0.475532203912735,0.6123937219381332,2,0.405375
11,0.6375237454970677,0.7504474451144536,2,0.525379
12,0.6147150960233476,0.8604418453243043,2,0.615625
13,0.7305215902626514,0.45438363440334795,4,0.845622
14,0.5734276096026103,0.6949759580194951,3,0.605497
15,0.3098136708140373,0.7766687572002411,2,0.575493
16,0.25596996597827426,0.32389163592505077,3,1.951875
17,0.7660221974054973,0.105142201979955,2,0.295375
18,0.7282073164270038,0.7346071678967703,2,0.605613
