cluster,centroid_x,centroid_y,n_fixations,sum_duration_s
0,0.2656063934167226,0.0887511463392348,3,0.70574
1,0.19096120571096736,0.346497560540835,2,0.80075
2,0.20756972324753561,0.45341120371742855,5,1.8765009999999998
3,0.195769096525523,0.7368862700346228,4,1.396388
4,0.48239104140920813,0.4060780917669271,16,4.334232
5,0.40926851520794183,0.6026232775799569,15,7.461487
6,0.6222809682053233,0.584014405984254,7,1.986876
7,0.6847316229627246,0.7026212579437665,5,1.121141
8,0.7825016205509503,0.5365908518433571,2,0.5854940000000001
9,0.70387462079525,0.5128477498888969,2,0.49037600000000003
10,0.6378156379417137,0.44939295009330466,3,0.820756
11,0.4284437541257251,0.12169458077841507,5,1.421265
12,0.6122574064466688,0.13108434544669256,2,0.580503
13,0.7803136638055245,0.1474330724172649,4,2.387243
14,0.7164167734709652,0.21727710239814985,2,0.780749
15,0.6167420361723219,0.25364936675344196,2,0.6106309999999999
16,0.3728999061888947,0.19998734390193765,11,2.9880350000000004
17,0.2992802314342014,0.8150734463854441,3,1.210999
18,0.4319675366083781,0.8249818231658235,2,1.33626
19,0.5991309890151024,0.824369683365027,5,1.5363909999999998
20,0.7824694829327719,0.7944535583257675,2,0.500367
21,0.7960779147015679,0.6375420552161005,3,0.735629
22,0.33659421841303505,0.4804408457875251,5,1.8263619999999998
23,0.31887494636906516,0.323742786248525,5,1.396374
24,0.721607049022402,0.40231486644063674,2,0.530502
25,0.47161228557427726,0.7014479195078214,2,0.4155
26,0.7909558766418033,0.8620292082428932,3,2.232
