fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation detected on surface,fixation x [normalized],fixation y [normalized],start_s,end_s,cluster
159,1758893116191000576,1758893116336125440,145.125,1.0,0.7118574231863022,0.4514406770467758,61.652109056,61.79723392,-1
160,1758893116371129344,1758893116866632704,495.50299999999993,1.0,0.7293218374252319,0.2904137806458907,61.832237824,62.327741184,0
161,1758893116901624576,1758893117096875520,195.251,1.0,0.7191754341125488,0.3775024533271789,62.362733056,62.557984,0
162,1758893117156882432,1758893117422124544,265.242,1.0,0.6860686881201608,0.7702946215867996,62.617990912,62.883233024,-1
163,1758893117457124352,1758893117707378432,250.254,1.0,0.6030289133389791,0.7785521546999613,62.918232832,63.168486912,-1
164,1758893117757499392,1758893117932628480,175.129,1.0,0.390058770775795,0.7628345340490341,63.218607872,63.39373696,-1
165,1758893117982624512,1758893118197874432,215.25,1.0,0.1897418200969696,0.7718871235847473,63.443732992,63.658982912,1
166,1758893118232874496,1758893118613249536,380.375,1.0,0.235684260725975,0.6294542650381724,63.693982976,64.074358016,2
167,1758893118648249600,1758893118963636480,315.387,1.0,0.2573749367147684,0.8001206871122122,64.10935808,64.42474496,1
168,1758893118988624384,1758893119093749504,105.125,1.0,0.2246381267905235,0.7729894854128361,64.449732864,64.554857984,1
169,1758893119148749568,1758893119308873472,160.124,1.0,0.2091681994497776,0.3144621402025223,64.609858048,64.769981952,3
170,1758893119338874368,1758893119684249600,345.375,1.0,0.195350119844079,0.1847656741738319,64.799982848,65.14535808,4
171,1758893119719253504,1758893120014498560,295.245,1.0,0.238838357584817,0.184478861945016,65.180361984,65.47560704,4
172,1758893120049623552,1758893120274748416,225.125,1.0,0.1897096306085586,0.191521942615509,65.510732032,65.735856896,4
173,1758893120304873472,1758893120469998592,165.125,1.0,0.2320555485785007,0.2037547975778579,65.765981952,65.931107072,4
174,1758893120509998592,1758893120705248512,195.25,1.0,0.3641704082489013,0.3170314311981201,65.971107072,66.166356992,5
175,1758893120740248320,1758893121045498368,305.25,1.0,0.4182194641658238,0.3035612617220197,66.2013568,66.506606848,-1
177,1758893121666123520,1758893121891248384,225.125,1.0,0.6891296029090881,0.3936331391334534,67.127232,67.352356864,0
178,1758893121921373440,1758893122246633472,325.26,1.0,0.7184217646718025,0.3786134198307991,67.38248192,67.707741952,0
179,1758893122281623552,1758893122516872448,235.249,1.0,0.7315370341142019,0.2510985334714253,67.742732032,67.977980928,0
180,1758893122551873536,1758893122897247488,345.374,1.0,0.6258779391646385,0.2607578933238983,68.012982016,68.358355968,6
181,1758893122932250368,1758893123067372544,135.122,1.0,0.5743433982133865,0.2454501986503601,68.393358848,68.528481024,6
182,1758893123102372352,1758893123698005504,595.6329999999999,1.0,0.492904415497413,0.4244156938332777,68.563480832,69.159113984,7
183,1758893123748001536,1758893123923129600,175.128,1.0,0.6235729098320008,0.4730146288871765,69.209110016,69.38423808,8
184,1758893123978247424,1758893124173374464,195.127,1.0,0.3618148446083069,0.4543118715286255,69.439355904,69.634482944,9
185,1758893124188379392,1758893124538747392,350.368,1.0,0.3368512503802776,0.460691399872303,69.649487872,69.999855872,9
186,1758893124573747456,1758893124738872576,165.125,1.0,0.3350179120898247,0.3198832124471664,70.034855936,70.199981056,5
187,1758893124778997504,1758893125059254528,280.257,1.0,0.3184836975165775,0.4760150483676365,70.240105984,70.520363008,9
188,1758893125109247488,1758893125294379520,185.132,1.0,0.5098217129707336,0.4570843130350113,70.570355968,70.755488,7
189,1758893125319497472,1758893125474630400,155.13299999999998,1.0,0.50918581088384,0.4720125198364258,70.780605952,70.93573888,7
190,1758893125524629504,1758893125929996544,405.367,1.0,0.7312073707580566,0.5232340693473816,70.985737984,71.391105024,-1
193,1758893126440496384,1758893126695746560,255.25,1.0,0.712080717086792,0.3300279498100281,71.901604864,72.15685504,0
194,1758893126725746432,1758893127106121472,380.375,0.8888888888888888,0.8547152876853943,0.1262346373664008,72.186854912,72.567229952,-1
195,1758893127136121600,1758893127601621504,465.5,1.0,0.7319838643074036,0.2671542584896088,72.59723008,73.062729984,0
196,1758893127646621440,1758893128006996736,360.375,1.0,0.5884494384129842,0.2246411442756652,73.10772992,73.468105216,6
197,1758893128057000448,1758893128197127424,140.12699999999998,1.0,0.4380752444267273,0.2179941236972808,73.518108928,73.658235904,10
199,1758893128447377408,1758893128627497472,180.12,1.0,0.257256743311882,0.153599739074707,73.908485888,74.088605952,4
200,1758893128657495296,1758893128912745472,255.25,1.0,0.1988957126935323,0.1478035648663838,74.118603776,74.373853952,4
201,1758893128942870528,1758893129087995392,145.125,1.0,0.240374818444252,0.1976435780525207,74.403979008,74.549103872,4
202,1758893129123004416,1758893129558370560,435.366,1.0,0.1517255023121833,0.2400818228721618,74.584112896,75.01947904,-1
203,1758893129593370368,1758893130018872576,425.502,1.0,0.1970724910497665,0.3071571720971001,75.054478848,75.479981056,3
204,1758893130053870592,1758893130278995200,225.125,1.0,0.330429603656133,0.467491070429484,75.514979072,75.74010368,9
205,1758893130319120384,1758893130564370432,245.25,1.0,0.3042909105618794,0.2391964495182037,75.780228864,76.025478912,-1
