fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation detected on surface,fixation x [normalized],fixation y [normalized],start_s,end_s,cluster
3,1758893054538891520,1758893054834141440,295.25,1.0,0.2398195351873125,0.1149001632417951,0.0,0.29524992,0
4,1758893054904266496,1758893055144516352,240.25,1.0,0.1923160428802172,0.3637255231539408,0.365374976,0.605624832,1
5,1758893055179516416,1758893055900141824,720.625,1.0,0.2125962118307749,0.4876797099908193,0.640624896,1.361250304,2
6,1758893055945141504,1758893056280516352,335.375,1.0,0.1819562443665095,0.7182743932519641,1.406249984,1.741624832,3
7,1758893056340516352,1758893056635895552,295.379,1.0,0.4731139285223825,0.4990350774356297,1.801624832,2.097004032,4
8,1758893056665890560,1758893056841015552,175.125,1.0,0.452048534154892,0.5481744945049286,2.12699904,2.302124032,5
9,1758893056866015488,1758893057096266496,230.251,1.0,0.4612616648276647,0.6145913451910019,2.327123968,2.557374976,5
10,1758893057141265408,1758893057546651392,405.386,1.0,0.6409607662094964,0.5925117433071136,2.602373888,3.007759872,6
11,1758893057571765504,1758893057882020352,310.255,1.0,0.6710484794207981,0.6712324874741691,3.032873984,3.343128832,7
12,1758893057917015552,1758893058082140416,165.125,1.0,0.7052478492259979,0.7107252925634384,3.378124032,3.543248896,7
13,1758893058122265600,1758893058362390528,240.125,1.0,0.7742864886919657,0.5320280939340591,3.58337408,3.823499008,8
14,1758893058387515392,1758893058642640128,255.125,1.0,0.7127003967761993,0.508290246129036,3.848623872,4.103748608,9
15,1758893058682765568,1758893058887896576,205.131,1.0,0.6200888395309448,0.4647653698921203,4.143874048,4.349005056,10
16,1758893058923019520,1758893059063140352,140.12099999999998,1.0,0.5707329213619232,0.4369431734085083,4.384128,4.524248832,4
17,1758893059108140288,1758893059228265472,120.125,1.0,0.4276610414187113,0.3985353112220764,4.569248768,4.689373952,4
18,1758893059363390464,1758893059673640448,310.25,1.0,0.4476752340793609,0.3357167601585388,4.824498944,5.134748928,4
19,1758893059693640448,1758893059928890368,235.25,1.0,0.459453797340393,0.2747294068336486,5.154748928,5.389998848,4
20,1758893059968890112,1758893060229144576,260.254,1.0,0.4059770156939824,0.1406289537747701,5.429998592,5.690253056,11
21,1758893060274150400,1758893060429390592,155.23999999999998,1.0,0.2572630047798157,0.0838437438011169,5.73525888,5.890499072,0
22,1758893060469390592,1758893061125014528,655.624,1.0,0.1539158413807551,0.0767043590545654,5.930499072,6.586123008,-1
