world_index,marker_uid,corner_0_x,corner_0_y,corner_1_x,corner_1_y,corner_2_x,corner_2_y,corner_3_x,corner_3_y
0,apriltag_v3:tag36h11:21,355.59524536132824,833.2061767578125,400.3417663574218,835.9260864257811,398.1586914062499,787.9187622070312,353.23782348632824,785.4775390625003
0,apriltag_v3:tag36h11:22,1148.5544433593752,383.9029235839844,1187.091796875,386.64068603515625,1181.2645263671873,346.7730407714843,1144.058349609375,342.1728210449218
0,apriltag_v3:tag36h11:23,1155.3743896484382,813.3004760742189,1193.703125,809.1674194335939,1197.074829101562,766.0846557617188,1157.019775390625,768.3376464843748
1,apriltag_v3:tag36h11:21,355.0238037109375,834.162353515625,399.76205444335943,837.0595092773438,397.2781982421876,788.4240112304689,352.17309570312494,786.5740966796876
1,apriltag_v3:tag36h11:22,1146.8857421875002,382.9569702148437,1185.8817138671875,385.7615661621093,1180.1223144531245,346.1421203613282,1142.905029296875,341.52932739257824
1,apriltag_v3:tag36h11:23,1155.2233886718755,812.2952880859375,1193.4061279296873,808.5221557617189,1196.8441162109373,765.21923828125,1156.4815673828127,767.6490478515623
2,apriltag_v3:tag36h11:21,354.7976989746094,834.0089721679688,399.44061279296875,836.787841796875,397.06872558593756,788.4415893554688,351.9466857910157,786.3516235351562
2,apriltag_v3:tag36h11:22,1146.457275390625,382.11993408203125,1185.4403076171873,384.6957702636719,1179.1896972656248,345.0179138183593,1141.9468994140625,340.1949157714843
2,apriltag_v3:tag36h11:23,1155.2246093749998,811.5375976562499,1193.4925537109375,807.3702392578125,1196.6010742187502,764.327087402344,1156.5196533203125,766.6088256835938
3,apriltag_v3:tag36h11:21,355.4612426757813,832.9735107421875,399.90908813476557,835.7325439453124,397.39599609374994,787.4533081054689,352.25341796875006,785.1219482421877
3,apriltag_v3:tag36h11:22,1146.8873291015625,381.0590515136718,1185.962890625,384.01205444335943,1179.7783203125,344.1645202636719,1142.5983886718752,339.543975830078
3,apriltag_v3:tag36h11:23,1155.3641357421875,810.6338500976564,1193.8118896484377,806.8407592773436,1196.9139404296877,763.3851928710936,1156.977783203125,765.9044799804689
4,apriltag_v3:tag36h11:21,356.1703186035156,832.1887817382812,400.5402526855469,835.0817260742188,398.45086669921875,786.5224609374999,353.2792053222657,784.4663696289062
4,apriltag_v3:tag36h11:22,1147.7772216796873,380.10540771484375,1186.592529296875,382.8144836425781,1180.6256103515625,343.35501098632807,1143.2546386718748,338.4643859863281
4,apriltag_v3:tag36h11:23,1155.9522705078125,809.86328125,1194.904296875,806.2383422851562,1197.9991455078127,762.9691162109375,1158.5059814453125,764.9892578124999
5,apriltag_v3:tag36h11:21,357.4630432128906,831.4774780273435,402.0635681152344,833.9844360351565,399.6803588867187,786.1337890625001,354.8802490234375,783.5313720703124
5,apriltag_v3:tag36h11:22,1149.292236328125,379.37817382812506,1188.2249755859375,382.4234008789062,1182.1688232421877,342.7038269042968,1145.0654296875002,337.78244018554693
