cluster,centroid_x,centroid_y,n_fixations,sum_duration_s
0,0.7713304868484848,0.5723773073939393,33,10.624369999999999
1,0.3045878083,0.7936036475,20,5.114623999999999
2,0.40780427524999996,0.5606136328055555,36,8.963624000000001
3,0.4814306301293532,0.24505662335323383,201,60.75160100000001
4,0.20208264775,0.57673186675,4,1.051005
5,0.33137982466666666,0.67317265,3,0.565492
6,0.7993462250000001,0.7884490396,5,1.061117
7,0.19015994049999999,0.45216467824999995,4,0.990875
8,0.581596792,0.5514892415,2,0.40025
9,0.6106111705,0.6411133485,2,0.32538599999999995
